familyOrder	family
NULL	NULL
NULL	1 Rhopaliasidae, 2 Diplostomidae
Hemiptera	Acanaloniidae
NULL	Acanloniidae
Lepidoptera	Acanthopteroctetidae
Hemiptera	Acanthosomatidae
NULL	Acaridae
Trombidiformes	Acarophenacidae
Hemiptera	Achilidae
Hemiptera	Aclerdidae
NULL	Acrididae
Orthoptera	Acrididae
NULL	Acuariidae
Trombidiformes	Adamystidae
Hemiptera	Adelgidae
NULL	Adelidae
Coleoptera	Aderidae
NULL	Adrenidae
Thysanoptera	Aeolothripidae
NULL	Aeroglyphidae
NULL	Aetalionidae
NULL	Agonoxenidae
NULL	Agromyzidae
Diptera	Agromyzidae
Hemiptera	Aleyrodidae
NULL	Algophagidae
NULL	Allocreadiidae
NULL	Alloptidae
NULL	Allopyragraphoridae
Lepidoptera	Alucitidae
NULL	Alycidae
Hemiptera	Alydidae
NULL	Amabiliidae
Araneae	Amaurobiidae
NULL	Ameroseiidae
Hymenoptera	Ampulicidae
NULL	Analgidae
NULL	Ancylostomatidae
NULL	Ancyracanthidae
Hymenoptera	Andrenidae
NULL	Angiodictylidae
NULL	Angusticaecidae
NULL	Anisakidae
Diptera	Anisopodidae
Coleoptera	Anobiidae
NULL	Anoplocephalidae
NULL	Antennophoridae
Coleoptera	Anthicidae
NULL	Anthocoridae
Hemiptera	Anthocoridae
NULL	Anthomyiidae
Diptera	Anthomyiidae
NULL	Anthophoridae
Coleoptera	Anthribidae
Araneae	Anyphaenidae
NULL	Anystidae
Trombidiformes	Anystidae
NULL	Aphalaridae
NULL	Aphelinidae
Hymenoptera	Aphelinidae
Hemiptera	Aphididae
Hemiptera	Aphrophoridae
NULL	Apidae
Hymenoptera	Apidae
NULL	Apionacaridae
Coleoptera	Apionidae
Hemiptera	Aradidae
NULL	Araneidae
Araneae	Araneidae
NULL	Archaeobalanidae
NULL	Arctacaridae
NULL	Arctiidae
NULL	Argasidae
Hymenoptera	Argidae
NULL	Arrenuridae
Trombidiformes	Arrenuridae
Hemiptera	Artheneidae
NULL	Ascaridae
NULL	Ascarididae
NULL	Ascidae
Diptera	Asilidae
NULL	Aspidogastridae
Diptera	Asteiidae
Hemiptera	Asterolecaniidae
NULL	Atopomelidae
Coleoptera	Attelabidae
NULL	Audycoptidae
Diptera	Aulacigastridae
NULL	Avenzoariidae
NULL	Azygiidae
NULL	Bacillaceae
NULL	Baetidae
Ephemeroptera	Baetidae
NULL	Balanidae
Trombidiformes	Barbutiidae
Trombidiformes	Bdellidae
NULL	Bdellouridae
Hemiptera	Belostomatidae
Hemiptera	Berytidae
Hymenoptera	Bethylidae
Diptera	Bibionidae
Coleoptera	Biphyllidae
Mecoptera	Bittacidae
NULL	Blastobasidae
NULL	Blattisociidae
Hemiptera	Blissidae
Diptera	Bombyliidae
NULL	Boopidae
Coleoptera	Bostrichidae
Coleoptera	Bothrideridae
NULL	Bothriocephalidae
NULL	Bovicolidae
NULL	Brachycentridae
NULL	Brachyceridae
NULL	Brachycoeliidae
NULL	Brachylaimidae
NULL	Braconidae
Hymenoptera	Braconidae
Coleoptera	Brentidae
NULL	Bruchidae
NULL	Bucephalidae
Coleoptera	Buprestidae
Scorpiones	Buthidae
Coleoptera	Byturidae
Trombidiformes	Caeculidae
Trombidiformes	Caligonellidae
Hemiptera	Caliscelidae
NULL	Calliphoridae
Diptera	Calliphoridae
NULL	Calophyidae
Trombidiformes	Calyptostomatidae
NULL	Camallanidae
Trombidiformes	Camerobiidae
NULL	Canacidae
NULL	Cantharidae
Coleoptera	Cantharidae
NULL	Capillaridae
NULL	Carabidae
Coleoptera	Carabidae
Trombidiformes	Caraboacaridae
NULL	Carnidae
NULL	Carpoglyphidae
NULL	Caryophyllaeidae
NULL	Catenotaeniidae
NULL	Cecidomyiidae
Diptera	Cecidomyiidae
NULL	Celaenopsidae
NULL	Centrorhynchidae
Coleoptera	Cerambycidae
Hymenoptera	Ceraphronidae
NULL	Ceratophyllida
Siphonaptera	Ceratophyllidae
NULL	Ceratopogonidae
Diptera	Ceratopogonidae
NULL	Cercomegistidae
Hemiptera	Cercopidae
NULL	Cerococcidae
Coleoptera	Cerylonidae
NULL	Cetoniidae
NULL	Chaetodactylidae
Hymenoptera	Chalcididae
NULL	Chaoboridae
Coleoptera	Chelonariidae
Trombidiformes	Cheyletidae
NULL	Chilomastigidae
NULL	Chirodiscidae
NULL	Chironomidae
Diptera	Chironomidae
NULL	Chloroperlidae
NULL	Chloropidae
Diptera	Chloropidae
Lepidoptera	Choreutidae
NULL	Chortoglyphidae
Hymenoptera	Chrysididae
Coleoptera	Chrysomelidae
Neuroptera	Chrysopidae
Diptera	Chyromyidae
Trombidiformes	Chyzeriidae
NULL	Cicadellidae
Hemiptera	Cicadellidae
Hemiptera	Cicadidae
NULL	Cicindelidae
Coleoptera	Ciidae
Hemiptera	Cixiidae
Hemiptera	Clastopteridae
Coleoptera	Cleridae
NULL	Clinostomatidae
Trombidiformes	Cloacaridae
NULL	Clubionidae
Araneae	Clubionidae
Hemiptera	Coccidae
Coleoptera	Coccinellidae
Odonata	Coenagrionidae
Lepidoptera	Coleophoridae
NULL	Coleoptera
Hymenoptera	Colletidae
NULL	Colydiidae
Hemiptera	Conchaspididae
Neuroptera	Coniopterygidae
Diptera	Conopidae
Hemiptera	Coreidae
NULL	Corimelaenidae
Araneae	Corinnidae
Hemiptera	Corixidae
Megaloptera	Corydalidae
Coleoptera	Corylophidae
NULL	Cosmocercidae
Lepidoptera	Cosmopterigidae
Lepidoptera	Cossidae
Hymenoptera	Crabronidae
NULL	Crambidae
Lepidoptera	Crambidae
Trombidiformes	Crotalomorphidae
NULL	Cruziidae
Trombidiformes	Cryptognathidae
NULL	Cryptogonimidae
NULL	Ctenophthalmidae
NULL	Cucullanidae
NULL	Culicidae
Diptera	Culicidae
Trombidiformes	Cunaxidae
NULL	Curculionidae
Coleoptera	Curculionidae
NULL	Cuterebridae
NULL	Cyathocephalidae
NULL	Cyathostomidae
NULL	Cyclocoelidae
Hemiptera	Cydnidae
Hemiptera	Cymidae
Hymenoptera	Cynipidae
NULL	Cytodytidae
NULL	Dactylogyridae
Hemiptera	Dactylopiidae
NULL	Daraineidae
Trombidiformes	Dasythyreidae
NULL	Davaineidae
Hemiptera	Delphacidae
NULL	Demodecidae
Hemiptera	Derbidae
NULL	Dermanyssidae
NULL	Dermationidae
Coleoptera	Dermestidae
NULL	Dermoglyphidae
NULL	Diaphanocephalidae
NULL	Diapriidae
Hymenoptera	Diapriidae
NULL	Diarthrophallidae
Hemiptera	Diaspididae
NULL	Dibothriocephalidae
NULL	Dicrocoeliidae
NULL	Dictynidae
Araneae	Dictynidae
Hemiptera	Dictyopharidae
NULL	Digamasellidae
NULL	Dilepididae
NULL	Dinychidae
NULL	Dioctophymatidae
NULL	Dioecocestidae
NULL	Dipetalonematidae
NULL	Diphyllobothridae
NULL	Diplepididae
NULL	Diplodiscidae
NULL	Diplogyniidae
NULL	Diplostomatidae
NULL	Diplotrianeidae
Hymenoptera	Diprionidae
Trombidiformes	Diptilomiopidae
NULL	Dipylidiidae
NULL	Discocotylidae
NULL	Dolichopodidae
Diptera	Dolichopodidae
NULL	Dolichopsyllidae
NULL	Dracanculidae
NULL	Drosophilidae
Diptera	Drosophilidae
Hymenoptera	Dryinidae
NULL	Dryomyzidae
NULL	Dryophthoridae
NULL	Dynastidae
Coleoptera	Dytiscidae
NULL	Echimyopodidae
NULL	Echinorhynchidae
NULL	Echinostomatidae
NULL	Eimeriidae
NULL	Elachistidae
Lepidoptera	Elachistidae
NULL	Elateridae
Coleoptera	Elateridae
NULL	Elateroidea
NULL	Empididae
Diptera	Empididae
NULL	Encyrtidae
Hymenoptera	Encyrtidae
NULL	Endamoebidae
Coleoptera	Endomychidae
NULL	Entomobryidae
NULL	Entonyssidae
NULL	Ephydridae
Diptera	Ephydridae
NULL	Epidermoptidae
Lepidoptera	Erebidae
Trombidiformes	Ereynetidae
Hemiptera	Eriococcidae
Trombidiformes	Eriophyidae
Coleoptera	Erirhinidae
Coleoptera	Erotylidae
NULL	Erythraeidae
Trombidiformes	Erythraeidae
Coleoptera	Eucnemidae
NULL	Eucotylidae
NULL	Euglycyphagidae
NULL	Eulophidae
Hymenoptera	Eulophidae
Trombidiformes	Eupalopsellidae
Hymenoptera	Eupelmidae
Trombidiformes	Eupodidae
Hymenoptera	Eurytomidae
NULL	Eustathiidae
NULL	Euzerconidae
Hymenoptera	Evaniidae
NULL	Eviphididae
Trombidiformes	Eylaidae
NULL	Falculiferidae
NULL	Fanniidae
NULL	Fasciolidae
NULL	Fellodistomatidae
NULL	Figitidae
Hymenoptera	Figitidae
NULL	Filariidae
NULL	Filaroididae
Hemiptera	Flatidae
Dermaptera	Forficulidae
Hymenoptera	Formicidae
NULL	Freyanidae
Hemiptera	Fulgoridae
NULL	Gabuciniidae
Lepidoptera	Galacticidae
Hymenoptera	Gasteruptiidae
NULL	Gastrocotylidae
NULL	Gastronyssidae
NULL	Gaudoglyphidae
Hemiptera	Gelastocoridae
NULL	Gelechiidae
Lepidoptera	Gelechiidae
Hemiptera	Geocoridae
NULL	Geometridae
Lepidoptera	Geometridae
Coleoptera	Geotrupidae
Hemiptera	Gerridae
NULL	Gigantorhynchidae
NULL	Glycyphagidae
NULL	Glyphipterigidae
Araneae	Gnaphosidae
NULL	Gnathostomatidae
NULL	Goeziidae
NULL	Gorgoderidae
NULL	Gracillariidae
Orthoptera	Gryllidae
Orthoptera	Gryllotalpidae
Coleoptera	Gyrinidae
Psocodea	Gyropidae
NULL	Habronematidae
Psocodea	Haematopinidae
NULL	Haemogamasidae
Trombidiformes	Halacaridae
NULL	Halarachinidae
NULL	Halarachnidae
Hymenoptera	Halictidae
NULL	Halimococcidae
Coleoptera	Haliplidae
NULL	Halolaelapidae
NULL	Haplobothriidae
NULL	Haplonematidae
NULL	Harpirhynchidae
NULL	Harpyrhynchidae
NULL	Hasstilesiidae
NULL	Hectopsyllidae
NULL	Hemerobiidae
Neuroptera	Hemerobiidae
NULL	Hemisarcoptidae
NULL	Hemiuridae
Ephemeroptera	Heptageniidae
NULL	Heronimidae
Lepidoptera	Hesperiidae
NULL	Heterakidae
Trombidiformes	Heterocheylidae
NULL	Heterochoilidae
NULL	Heteronemiidae
NULL	Heterophyidae
Thysanoptera	Heterothripidae
NULL	Heterozerconidae
NULL	Hexamitidae
NULL	Hippoboscidae
Diptera	Hippoboscidae
Coleoptera	Histeridae
NULL	Histiostomatidae
NULL	Homotomidae
Psocodea	Hoplopleuridae
Sarcoptiformes	Hyadesidae
Coleoptera	Hybosoridae
NULL	Hybotidae
Trombidiformes	Hydrachnidae
NULL	Hydraenidae
Coleoptera	Hydrophilidae
Trichoptera	Hydropsychidae
NULL	Hydroptilidae
Trichoptera	Hydroptilidae
NULL	Hydryphantidae
Trombidiformes	Hydryphantidae
NULL	Hygrobatidae
Trombidiformes	Hygrobatidae
NULL	Hymenolepididae
NULL	Hypoaspididae
NULL	Hypoderatidae
NULL	Hypoderidae
Siphonaptera	Hystrichopsyllidae
Hymenoptera	Ibaliidae
NULL	Ichneumonidae
Hymenoptera	Ichneumonidae
NULL	Iguanidae
NULL	Incurvariidae
NULL	Inocellidae
Trombidiformes	Iolinidae
Siphonaptera	Ischnopsyllidae
Hemiptera	Issidae
Scorpiones	Iuridae
Ixodida	Ixodidae
NULL	Ixodorhynchidae
NULL	Kathlaniidae
Hemiptera	Kermesidae
NULL	Keroplatidae
NULL	Kerriidae
Hemiptera	Kinnaridae
NULL	Klinckowstroemiidae
NULL	Knemidokoptidae
NULL	Kramerellidae
NULL	Kuwaniidae
NULL	Labidaphohidae
NULL	Labidostommatidae
NULL	Labidostommidae
NULL	Lacistorhynchidae
NULL	Laelapidae
Coleoptera	Laemophloeidae
NULL	Laminosioptidae
NULL	Lampritrematidae
Coleoptera	Lampyridae
NULL	Languriidae
NULL	Lardoglyphidae
Hemiptera	Largidae
Lepidoptera	Lasiocampidae
NULL	Lasiochilidae
NULL	Latridiidae
Coleoptera	Latridiidae
NULL	Lebertiidae
Trombidiformes	Lebertiidae
NULL	Lecanodiaspididae
NULL	Lecithodendriidae
Coleoptera	Leiodidae
NULL	Lepidoptera
Zygentoma	Lepismatidae
NULL	Lepocreadiidae
NULL	Leptoceridae
Ephemeroptera	Leptophlebiidae
Siphonaptera	Leptopsyllidae
NULL	Leucochloridlidae
Hymenoptera	Leucospidae
Odonata	Libellulidae
NULL	Libytheidae
NULL	Limnephilidae
NULL	Limnesiidae
Trombidiformes	Limnesiidae
Trombidiformes	Limnocharidae
NULL	Limoniidae
Psocodea	Linognathidae
NULL	Linyphiidae
Araneae	Linyphiidae
NULL	Liotheidae
NULL	Listrophoridae
Lithobiomorpha	Lithobiidae
NULL	Liviidae
NULL	Lomoidae
NULL	Lonchaeidae
Diptera	Lonchaeidae
NULL	Lordalychidae
Coleoptera	Lucanidae
Lepidoptera	Lycaenidae
Coleoptera	Lycidae
NULL	Lycosidae
Araneae	Lycosidae
NULL	Lyctocoridae
Hemiptera	Lygaeidae
Lepidoptera	Lyonetiidae
NULL	Macracanthorhynchidae
NULL	Macrochelidae
NULL	Macroderidae
NULL	Macronyssidae
Neuroptera	Mantispidae
Hemiptera	Margarodidae
NULL	Matsucoccidae
Hymenoptera	Megachilidae
NULL	Megaspilidae
Hymenoptera	Megaspilidae
NULL	Megisthanidae
Coleoptera	Melandryidae
Hymenoptera	Melittidae
Coleoptera	Meloidae
NULL	Melolonthidae
Coleoptera	Melyridae
Hemiptera	Membracidae
Psocodea	Menoponidae
NULL	Mesocestoidae
NULL	Mesocestoididae
NULL	Metagynuridae
NULL	Microbothriidae
NULL	Microcotylidae
Trombidiformes	Microdispidae
NULL	Microgyniidae
Coleoptera	Micromalthidae
Diptera	Micropezidae
NULL	Microphallidae
Hemiptera	Microphysidae
NULL	Microtrombidiidae
Trombidiformes	Microtrombidiidae
Diptera	Milichiidae
Araneae	Mimetidae
NULL	Miridae
Hemiptera	Miridae
Araneae	Miturgidae
Orthoptera	Mogoplistidae
NULL	Momphidae
NULL	Moniliformidae
NULL	Monocotylidae
NULL	Monophlebidae
NULL	Monorchiidae
Coleoptera	Monotomidae
NULL	Mordelidae
Coleoptera	Mordellidae
NULL	Muscidae
Diptera	Muscidae
Hymenoptera	Mutillidae
Coleoptera	Mycetophagidae
NULL	Mycetophilidae
NULL	Mycobacteriaceae
Diptera	Mydidae
NULL	Mymaridae
Trombidiformes	Myobiidae
NULL	Myocoptidae
Orthoptera	Myrmecophilidae
Neuroptera	Myrmeleontidae
NULL	Mythicomyiidae
Hemiptera	Nabidae
NULL	Nanorchestidae
Diptera	Nemestrinidae
NULL	Nemouridae
Plecoptera	Nemouridae
NULL	Nenteriidae
NULL	Neoechinorhynchidae
Hemiptera	Nepidae
NULL	Nepticulidae
Coleoptera	Nitidulidae
NULL	Noctuidae
Lepidoptera	Noctuidae
NULL	Nomadidae
Coleoptera	Nosodendridae
Coleoptera	Noteridae
NULL	Notocotylidae
Lepidoptera	Notodontidae
Hemiptera	Notonectidae
NULL	Nudacotylidae
Lepidoptera	Nymphalidae
NULL	Ochetosomatidae
Hemiptera	Ochteridae
Orthoptera	Oecanthidae
Lepidoptera	Oecophoridae
Coleoptera	Oedemeridae
NULL	Oestridae
Diptera	Oestridae
NULL	Oligacanthorhynchidae
NULL	Ologamasidae
NULL	Onchobothriidae
