count(*)	family
14	NULL
1	1 Rhopaliasidae, 2 Diplostomidae
170	Acanaloniidae
1	Acanloniidae
2	Acanthopteroctetidae
31	Acanthosomatidae
369	Acaridae
17	Acarophenacidae
205	Achilidae
21	Aclerdidae
1724	Acrididae
103	Acuariidae
1	Adamystidae
2	Adelgidae
1	Adelidae
1	Aderidae
1	Adrenidae
157	Aeolothripidae
23	Aeroglyphidae
3	Aetalionidae
1	Agonoxenidae
850	Agromyzidae
2818	Aleyrodidae
17	Algophagidae
11	Allocreadiidae
15	Alloptidae
1	Allopyragraphoridae
1	Alucitidae
34	Alycidae
98	Alydidae
6	Amabiliidae
1	Amaurobiidae
45	Ameroseiidae
1	Ampulicidae
92	Analgidae
472	Ancylostomatidae
29	Ancyracanthidae
54051	Andrenidae
1	Angiodictylidae
4	Angusticaecidae
43	Anisakidae
1	Anisopodidae
27	Anobiidae
268	Anoplocephalidae
17	Antennophoridae
55	Anthicidae
572	Anthocoridae
191	Anthomyiidae
1	Anthophoridae
10	Anthribidae
4	Anyphaenidae
41	Anystidae
505	Aphalaridae
1420	Aphelinidae
68788	Aphididae
527	Aphrophoridae
38554	Apidae
2	Apionacaridae
93	Apionidae
121	Aradidae
10	Araneidae
5	Archaeobalanidae
41	Arctacaridae
5	Arctiidae
107	Argasidae
5	Argidae
156	Arrenuridae
17	Artheneidae
3	Ascaridae
243	Ascarididae
634	Ascidae
56	Asilidae
7	Aspidogastridae
77	Asteiidae
331	Asterolecaniidae
22	Atopomelidae
2	Attelabidae
10	Audycoptidae
10	Aulacigastridae
141	Avenzoariidae
9	Azygiidae
39	Bacillaceae
3	Baetidae
5	Balanidae
1	Barbutiidae
80	Bdellidae
2	Bdellouridae
1	Belostomatidae
157	Berytidae
31	Bethylidae
102	Bibionidae
1	Biphyllidae
2	Bittacidae
3	Blastobasidae
1	Blattisociidae
189	Blissidae
717	Bombyliidae
2825	Boopidae
40	Bostrichidae
1	Bothrideridae
2	Bothriocephalidae
108	Bovicolidae
1	Brachycentridae
3	Brachyceridae
1	Brachycoeliidae
24	Brachylaimidae
7628	Braconidae
1477	Brentidae
57	Bruchidae
2	Bucephalidae
976	Buprestidae
2	Buthidae
4	Byturidae
19	Caeculidae
7	Caligonellidae
44	Caliscelidae
109	Calliphoridae
103	Calophyidae
8	Calyptostomatidae
11	Camallanidae
18	Camerobiidae
58	Canacidae
109	Cantharidae
45	Capillaridae
1791	Carabidae
12	Caraboacaridae
4	Carnidae
1	Carpoglyphidae
1	Caryophyllaeidae
3	Catenotaeniidae
468	Cecidomyiidae
90	Celaenopsidae
17	Centrorhynchidae
1293	Cerambycidae
23	Ceraphronidae
1	Ceratophyllida
527	Ceratophyllidae
1791	Ceratopogonidae
236	Cercomegistidae
163	Cercopidae
69	Cerococcidae
14	Cerylonidae
7	Cetoniidae
36	Chaetodactylidae
27	Chalcididae
1	Chaoboridae
1	Chelonariidae
184	Cheyletidae
2	Chilomastigidae
10	Chirodiscidae
14064	Chironomidae
1	Chloroperlidae
534	Chloropidae
13	Choreutidae
21	Chortoglyphidae
78	Chrysididae
792	Chrysomelidae
39	Chrysopidae
10	Chyromyidae
1	Chyzeriidae
20784	Cicadellidae
1088	Cicadidae
1	Cicindelidae
23	Ciidae
196	Cixiidae
672	Clastopteridae
120	Cleridae
140	Clinostomatidae
51	Cloacaridae
5	Clubionidae
3130	Coccidae
437	Coccinellidae
27	Coenagrionidae
97	Coleophoridae
1	Coleoptera
8439	Colletidae
1	Colydiidae
2	Conchaspididae
7	Coniopterygidae
219	Conopidae
753	Coreidae
1	Corimelaenidae
1	Corinnidae
47	Corixidae
1	Corydalidae
3	Corylophidae
14	Cosmocercidae
35	Cosmopterigidae
3	Cossidae
1040	Crabronidae
148	Crambidae
1	Crotalomorphidae
6	Cruziidae
13	Cryptognathidae
22	Cryptogonimidae
2	Ctenophthalmidae
1	Cucullanidae
777	Culicidae
32	Cunaxidae
5665	Curculionidae
103	Cuterebridae
1	Cyathocephalidae
63	Cyathostomidae
75	Cyclocoelidae
156	Cydnidae
171	Cymidae
262	Cynipidae
27	Cytodytidae
17	Dactylogyridae
91	Dactylopiidae
1	Daraineidae
1	Dasythyreidae
226	Davaineidae
2848	Delphacidae
