count(*)	DWC_InstitutionCode	DWC_CollectionCode	SCAN_InsitutionCode	SCAN_CollectionName
11708	NULL	NULL	ABS	Archbold Biological Station Arthropod Collection
264198	NULL	NULL	AMNH	North American Bee Collections
25366	NULL	NULL	AMNH	Plant Bug Planetary Biodiversity Inventory Project PBI: Phytophagous Insects as a Model Group for Documenting Planetary Biodiversity (Insecta: Heterop
202252	NULL	NULL	AMNH	Tri-Trophic TCN
4336	NULL	NULL	ANSP	Academy of Natural Sciences, Entomology Collection
77131	NULL	NULL	ASU	Arizona State University Hasbrouck Insect Collection
192	NULL	NULL	BLM	BLM Mother Lode Field Office: The Bees of Pine Hill Preserve
88913	NULL	NULL	BYU	Brigham Young University Arthropod Museum
593210	NULL	NULL	CAS	AntWeb
162926	NULL	NULL	CAS	California Academy of Sciences Entomology
91860	NULL	NULL	CSU	C.P. Gillette Museum of Arthropod Diversity
5	NULL	NULL	CU	Clemson University Arthropod Collection
568	NULL	NULL	DBG	Denver Botanic Gardens Collection of Arthropods
128316	NULL	NULL	DMNS	Denver Museum of Nature & Science
949	NULL	NULL	DUGWAY	Dugway Proving Ground Natural History Collection
186153	NULL	NULL	EMEC	Essig Museum of Entomology
1	NULL	NULL	EVG	Ed V Gage Collection
119	NULL	NULL	FLMNH	Florida Museum of Natural History, McGuire Center for Lepidoptera and Biodiversity
319539	NULL	NULL	FMNH	Field Museum of Natural History Collection of Insects, Arachnids, and Myriapods
4194	NULL	NULL	GBIF	GBIF Extract with Location Data
8	NULL	NULL	GBIF	GBIF Extract without Location Information
577	NULL	NULL	GPSC	Gregory P. Setliff Collection - Kutztown University
344730	NULL	NULL	iNaturalist	iNaturalist Research-grade Observations
17367	NULL	NULL	KSU	K-State Museum of Entomological and Prairie Arthropod Research
1279924	NULL	NULL	KU	University of Kansas Natural History Museum Entomology Division
2056	NULL	NULL	MAJC	M. Andrew Johnston Collection
182	NULL	NULL	MOD_AMNH	Moth Observations Database: American Museum of Natural History
2847	NULL	NULL	MOD_CAS	Moth Observations Database: California Academy of Sciences
1646	NULL	NULL	MOD_CDFA	Moth Observations Database: California Department of Food and Agriculture
751	NULL	NULL	MOD_CNC	Moth Observations Database: Canadian National Collection
25	NULL	NULL	MOD_CSUFC	Moth Observations Database: Colorado State University, Fort Collins
4118	NULL	NULL	MOD_DMNS	Moth Observations Database: Denver Museum of Nature & Science
2319	NULL	NULL	MOD_FMNH	Moth Observation Database: Field Museum of Natural History
61	NULL	NULL	MOD_KSU	Moth Observation Database: Kansas State University
4097	NULL	NULL	MOD_LACM	Moth Observations Database: LA County Museum of Natural History
567	NULL	NULL	MOD_NMNH	Moth Observations Database: National Museum of Natural History
63	NULL	NULL	MOD_PMJ	Moth Observations Database: Peter Jump Personal Collection
315	NULL	NULL	MOD_PR	Moth Observations Database: Paul and Sandy Russel Personal Collection
211	NULL	NULL	MOD_SBMNH	Moth Observation Database: Santa Barbara Museum of Natural History
155	NULL	NULL	MOD_SDNHM	Moth Observations Database: San Diego Natural History Museum
689	NULL	NULL	MOD_TED	Moth Observations Database: Tom Dimock Personal Collection
10580	NULL	NULL	MOD_UCB	Moth Observations Database: UC Berkeley
5145	NULL	NULL	MOD_UCD	Moth Observations Database: UC Davis
235	NULL	NULL	MOD_UCONN	Moth Observations Database: University of Connecticut
335	NULL	NULL	MOD_UCR	Moth Observations Database: UC Riverside
49	NULL	NULL	MOD_WPC	Moth Observation Database: David L. Wikle Personal Collection
96844	NULL	NULL	MSU	The Albert J. Cook Arthropod Research Collection
43263	NULL	NULL	NAUF	Colorado Plateau Museum of Arthropod Biodiversity
1055	NULL	NULL	NMK	National Museums of Kenya, Invertebrate Section
81112	NULL	NULL	NMSU	New Mexico State Collection of Arthropods
118520	NULL	NULL	OMNH	The Sam Noble Museum Department of Recent Invertebrates
3281	NULL	NULL	PU	The Purdue Entomological Research Collection
111092	NULL	NULL	SBMNH	Santa Barbara Museum of Natural History Entomology Collection
4240	NULL	NULL	SDSU	SDSU Terrestrial Arthropods Collection
4	NULL	NULL	TAMU	Texas A&M University Insect Collection
173833	NULL	NULL	TTU	Texas Tech University - Invertebrate Zoology
96005	NULL	NULL	UA	University of Arizona Insect Collection
141	NULL	NULL	UCB	University of Colorado Museum of Natural History Entomology Collection
11786	NULL	NULL	UCD	R. M.Bohart Museum of Entomology
1403	NULL	NULL	UD	University of Delaware Insect Research Collection
425	NULL	NULL	UDAF	Utah Department of Agriculture and Food Entomology Collection
3721	NULL	NULL	UGCA	University of Georgia Collection of Arthropods
124037	NULL	NULL	UHIM	University of Hawaii Insect Museum
16860	NULL	NULL	UKY-HIC	Hymenoptera Institute Collection
38715	NULL	NULL	UMNH	Entomology Collection at the Natural History Museum of Utah
17580	NULL	NULL	UNL	Scarab Central: World Scarabaeoidea
40564	NULL	NULL	UNM	Museum of Southwestern Biology, Division of Arthropods
2538	NULL	NULL	USNM	United States National Museum, Entomology Collections
14195	NULL	NULL	UTC	University of Tennessee at Chattanooga
3030	NULL	NULL	UVM	University of Vermont Zadock Thompson Zoological Collection-Invertebrates
3778	NULL	NULL	VPI	Virginia Polytechnic Institute and State University Insect Collection
440	NULL	NULL	WICH	Wichita State University Collection
656	NULL	NULL	WWU	Western Washington University Insect Collection
215086	NULL	NULL	YPM	Yale Peabody Museum, Entomology Division
1	NULL	1109	CAS	California Academy of Sciences Entomology
6	NULL	4K	CAS	California Academy of Sciences Entomology
4	NULL	6K	CAS	California Academy of Sciences Entomology
3	NULL	80-63	CAS	California Academy of Sciences Entomology
2	NULL	9605	CAS	California Academy of Sciences Entomology
