catalognumber	locality	dbpk
EMEC10005897	Keams Copper Mines, Navajo Indian Reservation	urn:catalog:EMEC:EMEC:10005897
EMEC10005898	Keams Copper Mines, Navajo Indian Reservation	urn:catalog:EMEC:EMEC:10005898
EMEC10005899	Keams Copper Mines, Navajo Indian Reservation	urn:catalog:EMEC:EMEC:10005899
EMEC10005901	Kelso Dunes	urn:catalog:EMEC:EMEC:10005901
EMEC10005902	Kelso Dunes	urn:catalog:EMEC:EMEC:10005902
EMEC10005903	Eureka Valley	urn:catalog:EMEC:EMEC:10005903
EMEC10005904	Eureka Valley	urn:catalog:EMEC:EMEC:10005904
EMEC10005905	Eureka Valley	urn:catalog:EMEC:EMEC:10005905
EMEC10005906	Glen Canyon City, Cotton Beach, site 10 Tra/Sta A1	urn:catalog:EMEC:EMEC:10005906
EMEC10005907	Glen Canyon City, Cotton Beach, site 10 Tra/Sta A1	urn:catalog:EMEC:EMEC:10005907
EMEC10005908	Essex	urn:catalog:EMEC:EMEC:10005908
EMEC1012608	Pohakuloa Training Area	urn:catalog:EMEC:EMEC:1012608
EMEC1012609	Mount Kahili	urn:catalog:EMEC:EMEC:1012609
EMEC1012610	Waimea Canyon Overlook	urn:catalog:EMEC:EMEC:1012610
EMEC1012611	Powerlines trail	urn:catalog:EMEC:EMEC:1012611
EMEC1012612	Kaunuohua Ridge	urn:catalog:EMEC:EMEC:1012612
EMEC1012613	Kekaalaau	urn:catalog:EMEC:EMEC:1012613
EMEC1012614	Kolekole, Puu Hapapa	urn:catalog:EMEC:EMEC:1012614
EMEC1012658	Lower Falls, McCloud River	urn:catalog:EMEC:EMEC:1012658
EMEC1012659	Big Creek Reserve	urn:catalog:EMEC:EMEC:1012659
EMEC1012660	Berkeley, University of California campus	urn:catalog:EMEC:EMEC:1012660
EMEC1012661	Big Creek reserve	urn:catalog:EMEC:EMEC:1012661
EMEC1078325	Blodgett Experimental Forest	urn:catalog:EMEC:EMEC:1078325
EMEC1078326	Blodgett Experimental Forest	urn:catalog:EMEC:EMEC:1078326
EMEC1078327	Blodgett Experimental Forest	urn:catalog:EMEC:EMEC:1078327
EMEC1078328	Blodgett Experimental Forest	urn:catalog:EMEC:EMEC:1078328
EMEC1078332	Blodgett Experimental Forest	urn:catalog:EMEC:EMEC:1078332
EMEC1078333	Blodgett Experimental Forest	urn:catalog:EMEC:EMEC:1078333
EMEC1078334	Blodgett Experimental Forest	urn:catalog:EMEC:EMEC:1078334
EMEC1078335	Blodgett Experimental Forest	urn:catalog:EMEC:EMEC:1078335
EMEC1078336	Blodgett Experimental Forest	urn:catalog:EMEC:EMEC:1078336
EMEC1078337	Blodgett Experimental Forest	urn:catalog:EMEC:EMEC:1078337
EMEC1078338	Blodgett Experimental Forest	urn:catalog:EMEC:EMEC:1078338
EMEC1078339	Blodgett Experimental Forest	urn:catalog:EMEC:EMEC:1078339
EMEC1078340	Blodgett Experimental Forest	urn:catalog:EMEC:EMEC:1078340
EMEC1078341	Blodgett Experimental Forest	urn:catalog:EMEC:EMEC:1078341
EMEC1078342	Blodgett Experimental Forest	urn:catalog:EMEC:EMEC:1078342
EMEC1078343	Blodgett Experimental Forest	urn:catalog:EMEC:EMEC:1078343
EMEC1078344	Blodgett Experimental Forest	urn:catalog:EMEC:EMEC:1078344
EMEC1078345	Blodgett Experimental Forest	urn:catalog:EMEC:EMEC:1078345
EMEC1078346	Blodgett Experimental Forest	urn:catalog:EMEC:EMEC:1078346
EMEC1078347	Blodgett Experimental Forest	urn:catalog:EMEC:EMEC:1078347
EMEC1078501	Hallelujah Junction	urn:catalog:EMEC:EMEC:1078501
EMEC1078502	Sagehen Creek	urn:catalog:EMEC:EMEC:1078502
EMEC1078503	Sagehen Creek	urn:catalog:EMEC:EMEC:1078503
EMEC1078504	Sattley	urn:catalog:EMEC:EMEC:1078504
EMEC1078505	Sattley	urn:catalog:EMEC:EMEC:1078505
EMEC1078506	Hallelujah Junction	urn:catalog:EMEC:EMEC:1078506
EMEC1078507	Hallelujah Junction	urn:catalog:EMEC:EMEC:1078507
EMEC1078508	Carson Pass, 2 kilometers south of	urn:catalog:EMEC:EMEC:1078508
EMEC1078509	Carson Pass, 2 kilometers south of	urn:catalog:EMEC:EMEC:1078509
EMEC1078510	Carson Pass, 2 kilometers south of	urn:catalog:EMEC:EMEC:1078510
EMEC1078511	Carson Pass, 2 kilometers south of	urn:catalog:EMEC:EMEC:1078511
EMEC1078512	Sagehen Creek	urn:catalog:EMEC:EMEC:1078512
EMEC1078513	Khyburz Flat; Sierraville, 14km southeast of	urn:catalog:EMEC:EMEC:1078513
EMEC1078514	Nixon	urn:catalog:EMEC:EMEC:1078514
EMEC1078515	Sagehen Creek	urn:catalog:EMEC:EMEC:1078515
EMEC1078516	Sagehen Creek	urn:catalog:EMEC:EMEC:1078516
EMEC1078517	Nixon	urn:catalog:EMEC:EMEC:1078517
EMEC1078518	Nixon	urn:catalog:EMEC:EMEC:1078518
EMEC1078957	University of California Blodgett Forest, 8 miles east of Georgetown	urn:catalog:EMEC:EMEC:1078957
EMEC1078958	University of California Blodgett Forest, 8 miles east of Georgetown	urn:catalog:EMEC:EMEC:1078958
EMEC1078959	University of California Blodgett Forest, 8 miles east of Georgetown	urn:catalog:EMEC:EMEC:1078959
