family	count(distinct(concat(decimalLatitude,decimalLongitude)))
1 Rhopaliasidae, 2 Diplostomidae	1
1 Strigeidae/ 2 Threskiornithidae	1
Abacionidae	63
Acalaphidae	1
Acanaloniidae	1414
Acanloniidae	1
Acanthametropodidae	3
Acanthaspidiidae	11
Acanthochitonidae	2
Acantholeberidae	1
Acanthopidae	2
Acanthopteroctetidae	4
Acanthosomatidae	466
Acanthotelsonidae	1
Acanthuridae	1
Acardae	1
Acaridae	12
Acartiidae	72
Acartophthalmidae	16
Acastidae	3
Aceraceae	2
Acerentomidae	6
Acertentomidae	1
Achatinellidae	4
Achilidae	693
Achipteriidae	24
Achiridae	29
Aclerdidae	15
Acmaeidae	9
Acmaeoblattidae	1
Acolothripidae	1
Acridadae	1
Acrididae	10230
Acrididaehttp://symbiota4.acis.ufl.edu/scan/portal	1
Acroceridae	29
Acrolepiidae	15
Acrolophidae	48
Acropsopilionidae	1
Actaletidae	1
Acteonidae	1
Acuariidae	14
Adelgidae	140
Adelidae	32
Aderidae	267
Aderidae?	1
Adrenidae	3
Aegeriidae	1
Aegialiidae	4
Aegidae	46
Aeginellidae	1
Aeglidae	1
Aegyrtidae	8
Aenictopecheidae	1
Aeolothripidae	153
Aeroglyphidae	2
Aeshnidae	1507
Aetalionidae	14
Aethridae	48
Aetideidae	84
Agaonidae	14
Agathotanaidae	27
Agelendae	1
Agelenidae	1327
Aglycyderidae	1
Agnostidae	6
Agonoxenidae	8
Agostocarididae	2
Agraulidae	2
Agriolomacidae	2
Agrionidae	6
Agromyzidae	359
Agromyziidae	1
Agyrtidae	85
Aididae	2
Akanthophoreidae	39
Albuneidae	24
Alexiidae	1
Aleyrodidae	791
Algophagidae	1
Alicorhagiidae	1
Alleculidae	13
Allocreadiidae	4
Allopocockiidae	1
Alloptidae	2
Allopyragraphoridae	1
Alokistocaridae	32
Alpheidae	462
Alucitidae	26
Alvinocarididae	1
Alycidae	6
Alydidae	1751
Amabiliidae	1
Amaurobiidae	438
Amaurobiidae?	1
Amblyopsidae	1
Ameiridae	3
Ameletidae	259
Ameronothridae	6
Ameronothriidae	1
Ameroseiidae	9
Ametropodidae	5
Ametroproctidae	2
Ammotheidae	54
Ammotrechidae	179
Ammoxenidae	1
Amorphoscelidae	1
Ampeliscidae	1918
Amphientomidae	4
Amphilochidae	141
Amphinectidae	6
