InstitutionCode	CollectionCode	InstitutionCode	CollectionCode	count(*)	CollectionName
NULL	NULL	ASU	ASUHIC	7149890	Arizona State University Hasbrouck Insect Collection
()	Insects	OSU	OSU	119	Ohio State C.A. Triplehorn Insect Collection
6/19/16	NULL	AMNH	PBI	1	Plant Bug Planetary Biodiversity Inventory Project PBI: Phytophagous Insects as a Model Group for Documenting Planetary Biodiversity (Insecta: Heterop
6/29/75	NULL	AMNH	PBI	1	Plant Bug Planetary Biodiversity Inventory Project PBI: Phytophagous Insects as a Model Group for Documenting Planetary Biodiversity (Insecta: Heterop
8/1/02	NULL	AMNH	PBI	1	Plant Bug Planetary Biodiversity Inventory Project PBI: Phytophagous Insects as a Model Group for Documenting Planetary Biodiversity (Insecta: Heterop
8/3/50	NULL	AMNH	PBI	1	Plant Bug Planetary Biodiversity Inventory Project PBI: Phytophagous Insects as a Model Group for Documenting Planetary Biodiversity (Insecta: Heterop
AADC	ASAC_1180	GBIF	GBIF_NOLOC	1	GBIF Extract without Location Information
Abbott Coll.	NULL	UNL	SCARAB	1	Scarab Central: World Scarabaeoidea
ABS	NULL	AMNH	TTD	29	Tri-Trophic TCN
AJTT	AJN-INVERT	GBIF	GBIF_NOLOC	1	GBIF Extract without Location Information
AM	Arachnology	GBIF	GBIF_LOC	906	GBIF Extract with Location Data
AMDC	NULL	AMNH	BEE	120	North American Bee Collections
AMNH	NULL	AMNH	BEE	90	North American Bee Collections
AMNHTC	NULL	AMNH	BEE	189	North American Bee Collections
AMNH_ENT 00066326	NULL	AMNH	TTD	1	Tri-Trophic TCN
AMNH_IZC 00176893	NULL	AMNH	TTD	1	Tri-Trophic TCN
AMNH_IZC 00316072	NULL	AMNH	TTD	1	Tri-Trophic TCN
ANIC	NULL	AMNH	TTD	119	Tri-Trophic TCN
ANSP	NULL	AMNH	BEE	4643	North American Bee Collections
Anymals.org	user: 1975	GBIF	GBIF_LOC	3	GBIF Extract with Location Data
APN-AR	FUENTES	GBIF	GBIF_NOLOC	1	GBIF Extract without Location Information
ARC-PPRI	NCA	GBIF	GBIF_NOLOC	5	GBIF Extract without Location Information
ASCU	NULL	AMNH	PBI	2	Plant Bug Planetary Biodiversity Inventory Project PBI: Phytophagous Insects as a Model Group for Documenting Planetary Biodiversity (Insecta: Heterop
BCRC	NULL	UNL	SCARAB	3	Scarab Central: World Scarabaeoidea
BDBC	Banc de dades de biodiversitat de Catalunya-ArtroCat	GBIF	GBIF_NOLOC	2643	GBIF Extract without Location Information
BDCJ	Insecta	GBIF	GBIF_NOLOC	21	GBIF Extract without Location Information
BDGC	NULL	AMNH	TTD	285	Tri-Trophic TCN
BDUC	NULL	AMNH	PBI	19	Plant Bug Planetary Biodiversity Inventory Project PBI: Phytophagous Insects as a Model Group for Documenting Planetary Biodiversity (Insecta: Heterop
Biodiversity Institute of Ontario	BIOUG	GBIF	GBIF_LOC	9864	GBIF Extract with Location Data
BMNH	NULL	AMNH	TTD	1117	Tri-Trophic TCN
Borror Laboratory of Bioacoustics, Ohio State University, Columb	Recordings	GBIF	GBIF_LOC	16	GBIF Extract with Location Data
BPBM	MO	GBIF	GBIF_NOLOC	25005	GBIF Extract without Location Information
BRFC	NULL	AMNH	BEE	251	North American Bee Collections
BYU	NULL	AMNH	TTD	2994	Tri-Trophic TCN
BYUC	NULL	UNL	SCARAB	10	Scarab Central: World Scarabaeoidea
C.A. Triplehorn Insect Collection, Ohio State University, Columb	Insects	OSU	OSU	446330	Ohio State C.A. Triplehorn Insect Collection
CAES	NULL	AMNH	BEE	10764	North American Bee Collections
CAS	ENT	GBIF	GBIF_LOC	36122	GBIF Extract with Location Data
CBFC	NULL	AMNH	TTD	7	Tri-Trophic TCN
CENTA	NULL	UNL	SCARAB	144	Scarab Central: World Scarabaeoidea
CIB	NULL	AMNH	TTD	4	Tri-Trophic TCN
Cleveland Museum of Natural History, OH (CLEV)	Insects	CLEV	CMNHENT	12686	Cleveland Museum of Natural History Invertebrate Zoology Collection
CMNH	NULL	AMNH	TTD	15357	Tri-Trophic TCN
CNC	NULL	AMNH	TTD	31156	Tri-Trophic TCN
CNDF	NULL	UNL	SCARAB	54	Scarab Central: World Scarabaeoidea
