InstitutionCode	family	count(*)
NMSU	NULL	12611
TAMU	Acanaloniidae	181
CLEV	Acanthopidae	1
TAMU	Acanthosomatidae	5
USNM	Acartiidae	7
TAMU	Achilidae	170
CSCA	Aclerdidae	4
NMSU	Acrididae	1839
DMNS	Acroceridae	1
USNM	Acrolophidae	12
OSU	Aderidae	112
USNM	Aegidae	35
UAM	Aeolothripidae	18
KU	Aeshnidae	297
TAMU	Aetalionidae	34
USNM	Aethridae	6
USNM	Aetideidae	30
KU	Agaonidae	11
DMNS	Agelenidae	54
USNM	Agostocarididae	6
USNM	Agromyzidae	6
USNM	Albuneidae	42
CSCA	Aleyrodidae	372
UNM	Alleculidae	18
FMNH	Allopocockiidae	2
MCZ	Alpheidae	332
NCSU	Alydidae	615
USNM	Amaterasidae	4
MCZ	Amaurobiidae	11
USNM	Ammotheidae	29
DMNS	Ammotrechidae	9
NMSU	Ammoxenidae	1
CLEV	Amorphoscelidae	2
USNM	Ampeliscidae	10
USNM	Amphilochidae	2
USNM	Amphipterygidae	2
USNM	Ampithoidae	33
OSU	Ampulicidae	10
FMNH	Anapidae	30
USNM	Ancinidae	2
NAUF	Andrenidae	9471
FMNH	Andrognathidae	2
MCZ	Anguillidae	1
FMNH	Anisolabididae	1
USNM	Anisopodidae	1
OMNH	Annulariidae	1
ASU	Anobiidae	51
TTU	Anostostomatidae	2
MCZ	Antennariidae	3
TTU	Anthicidae	1442
UHIM	Anthocoridae	20
OSU	Anthomyiidae	24
UNM	Anthophoridae	400
TTU	Anthribidae	87
USNM	Anthuridae	18
FMNH	Antrodiaetidae	4
USNM	Anuropidae	3
DMNS	Anyphaenidae	97
USNM	Aoridae	12
FMNH	Apatelodidae	9
CSCA	Aphalaridae	18
FMNH	Aphelidesmidae	54
TAMU	Aphelinidae	436
NMSU	Aphididae	818
UHIM	Aphidiinae	5
UA	Aphodiidae	2
iNaturalist	Aphrophoridae	61
ASU	Apidae	31942
TTU	Apioceridae	97
NAUF	Apionidae	23
USNM	Apseudidae	2
ASU	Aradidae	121
NMSU	Araneidae	2505
USNM	Archaeobalanidae	4
MCZ	Archaeocrypticidae	1
KU	Archeocrypticidae	529
UNM	Arctiidae	402
USNM	Arcturidae	2
BYU	Argasidae	3
OSU	Argidae	249
MCZ	Argulidae	4
USNM	Aristeidae	23
USNM	Armadillidae	9
iNaturalist	Armadillidiidae	43
USNM	Artemiidae	2
NMSU	Ascalaphidae	16
TTU	Ascarididae	3
USNM	Ascidicolidae	1
USNM	Asellidae	13
NMSU	Asilidae	517
CSCA	Asterolecaniidae	8
USNM	Atelecyclidae	5
MCZ	Atemnidae	2
MCZ	Atopetholidae	14
NAUF	Attelabidae	19
iNaturalist	Attevidae	17
MCZ	Atyidae	38
MCZ	Atypidae	1
USNM	Augaptilidae	7
OSU	Aulacidae	11
USNM	Aulacigastridae	1
USNM	Autostichidae	1
MCZ	Axiidae	10
USNM	Bacillidae	1
PU	Baetidae	55
USNM	Bairdiidae	5
iNaturalist	Balanidae	89
USNM	Ballophilidae	1
USNM	Barbouriidae	2
FMNH	Barychelidae	3
USNM	Bateidae	9
USNM	Bathypalaemonellidae	2
USNM	Bathysquillidae	1
USNM	Batrachedridae	4
ASU	Belidae	1
NMSU	Belostomatidae	1155
USNM	Benthesicymidae	19
USNM	Bentheuphausiidae	1
NMSU	Berytidae	349
OSU	Bethylidae	102
MCZ	Biantidae	25
OSU	Bibionidae	35
KU	Biphyllidae	28
KU	Bittacidae	5
TAMU	Blaberidae	30
USNM	Blastobasidae	2
NMSU	Blattellidae	5
ASU	Blattidae	120
USNM	Blepharipodidae	2
TAMU	Blissidae	328
USNM	Bodotriidae	2
USNM	Bogidiellidae	2
FMNH	Bombycidae	36
OSU	Bombyliidae	258
USNM	Bomolochidae	19
USNM	Bopyridae	40
UNM	Bostrichidae	52
KU	Bothrideridae	1
INHS	Bourletiellidae	4
EMEC	Brachycentridae	2
USNM	Brachycytheridae	4
USNM	Brachyscelidae	7
INHS	Brachystomellidae	2
UKY-HIC	Braconidae	1393
MSU	Bradynobaenidae	13
USNM	Branchinectidae	17
ASU	Brentidae	865
TTU	Bruchidae	342
OMNH	Buccinidae	3
USNM	Bucculatricidae	1
OMNH	Bulimulidae	1
NMSU	Buprestidae	611
NMSU	Buthidae	226
USNM	Bythocytheridae	2
USNM	Bythograeidae	4
KU	Calamoceratidae	17
USNM	Calanidae	19
MCZ	Calappidae	19
USNM	Caligidae	91
TAMU	Caliscelidae	5
MCZ	Callianassidae	43
USNM	Callianideidae	12
USNM	Callipallenidae	10
NMSU	Calliphoridae	39
KU	Callirhipidae	9
USNM	Calocarididae	1
EMEC	Calophyidae	18
NMSU	Calopterygidae	866
OMNH	Calyptraeidae	1
USNM	Cambalidae	4
MCZ	Cambaridae	451
FMNH	Campodeidae	1
USNM	Canacidae	1
MCZ	Cancridae	2
USNM	Candaciidae	1
USNM	Candonidae	2
MCZ	Canestriniidae	1
OSU	Cantharidae	303
USNM	Canthocamptidae	10
MCZ	Caponiidae	15
USNM	Caprellidae	2
NAUF	Carabidae	67277
iNaturalist	Caraboctonidae	9
OMNH	Cardiidae	5
OMNH	Carditidae	1
OMNH	Cassidae	2
FMNH	Castniidae	6
USNM	Cecidomyiidae	1
USNM	Centropagidae	4
NMSU	Cerambycidae	1054
OSU	Ceraphronidae	221
FMNH	Ceratocombidae	52
MSU	Ceratophyllida	1
MSU	Ceratophyllidae	16
KU	Ceratopogonidae	146
OSU	Cercopidae	1692
CSCA	Cerococcidae	5
OSU	Cerylonidae	407
TTU	Cetoniidae	2
DMNS	Chactidae	24
NMSU	Chalcididae	109
USNM	Chalcidoidea	5
TTU	Chaodoridae	1
USNM	Chasmocarcinidae	1
MCZ	Cheliferidae	8
FMNH	Chelodesmidae	19
KU	Chelonariidae	13
MCZ	Chelonibiidae	16
MCZ	Chernetidae	13
MCZ	Cheyletidae	6
USNM	Chilenophilidae	4
TTU	Chironomidae	23
USNM	Chirostylidae	5
iNaturalist	Chloropidae	3
USNM	Choreutidae	3
MSU	Chrysididae	237
NAUF	Chrysomelidae	3172
NMSU	Chrysopidae	110
USNM	Chthamalidae	16
MCZ	Chthoniidae	7
NMSU	Chyphotidae	1
NMSU	Cicadellidae	33400
NMSU	Cicadidae	1739
KU	Ciidae	138
UCB	Cimicidae	115
USNM	Circocyllibanidae	1
MCZ	Cirolanidae	181
TAMU	Cixiidae	1010
KU	Clambidae	69
TAMU	Clastopteridae	46
USNM	Clausidiidae	5
USNM	Clausiidae	1
USNM	Clausocalanidae	2
FMNH	Cleidogonidae	70
TTU	Cleridae	227
DMNS	Clubionidae	25
CSCA	Coccidae	75
OSU	Coccinellidae	868
TTU	Coenagrionidae	2540
MCZ	Coenobitidae	38
EMEC	Coleophoridae	17
OSU	Colletidae	2648
USNM	Colomastigidae	10
KU	Colydiidae	89
CSCA	Conchaspididae	2
OMNH	Conidae	28
USNM	Coniopterygidae	3
FMNH	Conopidae	16
MCZ	Conotylidae	1
EMEC	Copromorphidae	1
USNM	Corallanidae	38
iNaturalist	Cordulegastridae	15
NMSU	Coreidae	6217
AMNH	Corimelaenidae	28
DMNS	Corinnidae	246
NMSU	Corixidae	4622
USNM	Coronididae	1
USNM	Coronulidae	1
USNM	Corophiidae	35
USNM	Corycaeidae	5
NMSU	Corydalidae	133
FMNH	Corydiidae	14
UTC	Corylophidae	363
UNM	Cosmetidae	67
EMEC	Cosmopterigidae	2
YPM	Cossidae	42
