collid	institutionCode	country	stateProvince	municipality	locality
NULL	NULL	UNKNOWN_NULL	UNKNOWN_NULL	UNKNOWN_NULL	UNKNOWN_NULL
1	ASU	UNKNOWN_NULL	UNKNOWN_NULL	UNKNOWN_NULL	UNKNOWN_NULL
3	NAUF	UNKNOWN_NULL	UNKNOWN_NULL	UNKNOWN_NULL	Zen crater
4	CSU	UNKNOWN_NULL	UNKNOWN_NULL	UNKNOWN_NULL	UNKNOWN_NULL
5	UNM	UNKNOWN_NULL	UNKNOWN_NULL	UNKNOWN_NULL	UNKNOWN_NULL
7	TTU	UNKNOWN_NULL	UNKNOWN_NULL	UNKNOWN_NULL	Unknown
8	UCB	UNKNOWN_NULL	UNKNOWN_NULL	UNKNOWN_NULL	UNKNOWN_NULL
10	NMSU	UNKNOWN_NULL	UNKNOWN_NULL	UNKNOWN_NULL	UNKNOWN_NULL
11	UA	UNKNOWN_NULL	UNKNOWN_NULL	UNKNOWN_NULL	UNKNOWN_NULL
12	DMNS	UNKNOWN_NULL	UNKNOWN_NULL	UNKNOWN_NULL	UNKNOWN_NULL
15	UMNH	UNKNOWN_NULL	UNKNOWN_NULL	UNKNOWN_NULL	UNKNOWN_NULL
16	UNL	UNKNOWN_NULL	UNKNOWN_NULL	UNKNOWN_NULL	UNKNOWN_NULL
17	UDAF	UNKNOWN_NULL	UNKNOWN_NULL	UNKNOWN_NULL	UNKNOWN_NULL
18	BYU	UNKNOWN_NULL	UNKNOWN_NULL	UNKNOWN_NULL	culvert below dam
19	MCZ	UNKNOWN_NULL	UNKNOWN_NULL	UNKNOWN_NULL	United States, California, Monterey, Pacific Grove
44	UKY-HIC	UNKNOWN_NULL	UNKNOWN_NULL	UNKNOWN_NULL	UNKNOWN_NULL
50	UHIM	UNKNOWN_NULL	UNKNOWN_NULL	UNKNOWN_NULL	UNKNOWN_NULL
54	UTC	UNKNOWN_NULL	UNKNOWN_NULL	UNKNOWN_NULL	UNKNOWN_NULL
55	OSU	UNKNOWN_NULL	UNKNOWN_NULL	UNKNOWN_NULL	World
56	GMNH	UNKNOWN_NULL	UNKNOWN_NULL	UNKNOWN_NULL	UNKNOWN_NULL
58	PU	UNKNOWN_NULL	UNKNOWN_NULL	UNKNOWN_NULL	Mont.
59	UAM	UNKNOWN_NULL	UNKNOWN_NULL	UNKNOWN_NULL	No specific locality recorded.
60	YPM	UNKNOWN_NULL	UNKNOWN_NULL	UNKNOWN_NULL	UNKNOWN_NULL
61	KU	UNKNOWN_NULL	UNKNOWN_NULL	UNKNOWN_NULL	UNKNOWN_NULL
62	CAS	UNKNOWN_NULL	UNKNOWN_NULL	UNKNOWN_NULL	5mi. N. Capola
68	CAS	UNKNOWN_NULL	UNKNOWN_NULL	UNKNOWN_NULL	UNKNOWN_NULL
69	UD	UNKNOWN_NULL	UNKNOWN_NULL	UNKNOWN_NULL	UNKNOWN_NULL
70	FLMNH	UNKNOWN_NULL	UNKNOWN_NULL	UNKNOWN_NULL	UNKNOWN_NULL
71	ANSP	UNKNOWN_NULL	UNKNOWN_NULL	UNKNOWN_NULL	Wat
74	USNM	UNKNOWN_NULL	UNKNOWN_NULL	UNKNOWN_NULL	UNKNOWN_NULL
75	VPI	UNKNOWN_NULL	UNKNOWN_NULL	UNKNOWN_NULL	UNKNOWN_NULL
