family	count(occid)
1 Rhopaliasidae, 2 Diplostomidae	1
1 Strigeidae/ 2 Threskiornithidae	1
Abacionidae	146
Acalaphidae	5
Acanaloniidae	3868
Acanloniidae	1
Acanthametropodidae	2
Acanthaspidiidae	11
Acanthochitonidae	1
Acantholeberidae	1
Acanthopidae	2
Acanthopteroctetidae	6
Acanthosomatidae	1656
Acaridae	57
Acartiidae	333
Acartophthalmidae	44
Acastidae	4
Aceraceae	2
Acerentomidae	5
Acertentomidae	1
Achatinellidae	4
Achilidae	2371
Achipteriidae	82
Achiridae	44
Aclerdidae	23
Acmaeidae	12
Acridadae	1
Acrididae	108245
Acrididaehttp://symbiota4.acis.ufl.edu/scan/portal	1
Acroceridae	36
Acrolepiidae	35
Acrolophidae	101
Actaletidae	1
Acteonidae	1
Acuariidae	103
Adelgidae	507
Adelidae	134
Aderidae	2095
Aderidae?	3
Adrenidae	3
Aegeriidae	1
Aegialiidae	3
Aegidae	47
Aeglidae	1
Aegyrtidae	60
Aenictopecheidae	1
Aeolothripidae	817
Aeroglyphidae	8
Aeshnidae	6267
Aetalionidae	15
Aethridae	54
Aetideidae	719
Agaonidae	41
Agathotanaidae	27
Agelendae	1
Agelenidae	2910
Agnostidae	8
Agonoxenidae	12
Agostocarididae	1
Agraulidae	1
Agriolomacidae	2
Agrionidae	5
Agromyzidae	3893
Agromyziidae	1
Agyrtidae	313
Aididae	3
Akanthophoreidae	39
Albuneidae	25
Aleyrodidae	3919
Algophagidae	8
Alicorhagiidae	1
Alleculidae	22
Allocreadiidae	11
Alloptidae	10
Allopyragraphoridae	1
Alokistocaridae	105
Alpheidae	1793
Alucitidae	73
Alvinocarididae	10
Alycidae	8
Alydidae	6135
Amabiliidae	6
Amaurobiidae	1312
Amaurobiidae?	1
Ameiridae	9
Ameletidae	642
Ameronothridae	12
Ameroseiidae	31
Ametropodidae	5
Ametroproctidae	30
Ammotheidae	67
Ammotrechidae	304
Ammoxenidae	1
Amorphoscelidae	2
Ampeliscidae	4118
Amphientomidae	8
Amphilochidae	259
Amphinectidae	9
Amphipoda	36
Amphipsocidae	57
Amphisbatidae	3
Amphithoidae	3
Amphizoidae	119
Ampithoidae	485
Ampulicidae	91
Ampullariidae	1
Analgidae	5
Anapidae	33
Anarhichadidae	1
Anarthruridae	9
Anarthuridae	1
Anaxyelidae	1
Ancinidae	51
