InstitutionCode	count(*)	CollectionName
Abbott Coll.	1	Scarab Central: World Scarabaeoidea
ABS	11737	Tri-Trophic TCN
AM	613	Tri-Trophic TCN
AMDC	120	North American Bee Collections
AMNH	491919	North American Bee Collections
AMNHTC	189	North American Bee Collections
ANIC	119	Tri-Trophic TCN
ANSP	8979	North American Bee Collections
ASCU	2	Plant Bug Planetary Biodiversity Inventory Project PBI: Phytophagous Insects as a Model Group for Documenting Planetary Biodiversity (Insecta: Heterop
ASU	77131	Arizona State University Hasbrouck Insect Collection
BCRC	3	Scarab Central: World Scarabaeoidea
BDGC	285	Tri-Trophic TCN
BDUC	19	Plant Bug Planetary Biodiversity Inventory Project PBI: Phytophagous Insects as a Model Group for Documenting Planetary Biodiversity (Insecta: Heterop
BLM	192	BLM Mother Lode Field Office: The Bees of Pine Hill Preserve
BMNH	1117	Tri-Trophic TCN
BPBM	25003	Essig Museum of Entomology
BRFC	251	North American Bee Collections
BYU	91907	Brigham Young University Arthropod Museum
BYUC	10	Scarab Central: World Scarabaeoidea
CAES	10764	North American Bee Collections
CAS	792373	AntWeb
CBFC	7	Tri-Trophic TCN
CENTA	144	Scarab Central: World Scarabaeoidea
CIB	4	Tri-Trophic TCN
CLEV	12686	Cleveland Museum of Natural History Invertebrate Zoology Collection
CMNH	15357	Tri-Trophic TCN
CNC	31156	Tri-Trophic TCN
CNDF	54	Scarab Central: World Scarabaeoidea
CSCA	47016	Tri-Trophic TCN
CSU	94011	C.P. Gillette Museum of Arthropod Diversity
CSUC	15897	Tri-Trophic TCN
CU	5	Clemson University Arthropod Collection
CUAC	215	Tri-Trophic TCN
CUIC	58996	North American Bee Collections
CUMNH	179	University of Colorado Museum of Natural History Entomology Collection
CUNI	10	Tri-Trophic TCN
CURLA	285	Scarab Central: World Scarabaeoidea
DAR	174	North American Bee Collections
DART	255	North American Bee Collections
DBG	568	Denver Botanic Gardens Collection of Arthropods
DCCC	193	Scarab Central: World Scarabaeoidea
DEBU	233	Plant Bug Planetary Biodiversity Inventory Project PBI: Phytophagous Insects as a Model Group for Documenting Planetary Biodiversity (Insecta: Heterop
DEI	58	Tri-Trophic TCN
DMNS	129418	Denver Museum of Nature & Science
DUGWAY	949	Dugway Proving Ground Natural History Collection
DZRJ	3	Tri-Trophic TCN
EAPZ	8231	Scarab Central: World Scarabaeoidea
EAUS	114	Scarab Central: World Scarabaeoidea
EBUS	50	Scarab Central: World Scarabaeoidea
EMEC	186865	Essig Museum of Entomology
ENA	71	Scarab Central: World Scarabaeoidea
ESNACIFOR	1236	Scarab Central: World Scarabaeoidea
ESUW	19	Plant Bug Planetary Biodiversity Inventory Project PBI: Phytophagous Insects as a Model Group for Documenting Planetary Biodiversity (Insecta: Heterop
EVDB	2	Scarab Central: World Scarabaeoidea
EVG	1	Ed V Gage Collection
FCAP	3	Tri-Trophic TCN
FCNI	57	Tri-Trophic TCN
FIOC	7	Tri-Trophic TCN
FLMNH	119	Florida Museum of Natural History, McGuire Center for Lepidoptera and Biodiversity
FMIC	69	North American Bee Collections
FMNH	321399	Field Museum of Natural History Collection of Insects, Arachnids, and Myriapods
FSCA	14185	Tri-Trophic TCN
FUCSA	22	Scarab Central: World Scarabaeoidea
FUPNAPIB	20	Scarab Central: World Scarabaeoidea
GPSC	577	Gregory P. Setliff Collection - Kutztown University
GSC	1748	North American Bee Collections
GSFP	4	Essig Museum of Entomology
GWMP	1922	Tri-Trophic TCN
HAHC	1	Scarab Central: World Scarabaeoidea
HEISS	7	Tri-Trophic TCN
HNHM	324	Tri-Trophic TCN
HOC	101	North American Bee Collections
HZIC	600	North American Bee Collections
IAvH	51	Tri-Trophic TCN
IBUNAM	584	Tri-Trophic TCN
ICN	148	Tri-Trophic TCN
IEXA	16	Tri-Trophic TCN
IMLA	17	Tri-Trophic TCN
INBIO	1514	Tri-Trophic TCN
INHS	657959	Tri-Trophic TCN
INPA	209	Tri-Trophic TCN
ISNB	382	Tri-Trophic TCN
ISUI	252	Tri-Trophic TCN
JECC	2	Plant Bug Planetary Biodiversity Inventory Project PBI: Phytophagous Insects as a Model Group for Documenting Planetary Biodiversity (Insecta: Heterop
JEWC	2	Scarab Central: World Scarabaeoidea
JMAC	4	Tri-Trophic TCN
JML	164	North American Bee Collections
JSA	149	North American Bee Collections
JSANUS	5	North American Bee Collections
JSAOBS	48	North American Bee Collections
JTP	7912	Tri-Trophic TCN
KAVE	1	Tri-Trophic TCN
KBIN	14	Tri-Trophic TCN
Kentuky	1	Scarab Central: World Scarabaeoidea
KNWR	44	Tri-Trophic TCN
KSU	17367	K-State Museum of Entomological and Prairie Arthropod Research
KU	1283417	University of Kansas Natural History Museum Entomology Division
La Rue	4	Scarab Central: World Scarabaeoidea
LACM	188335	Tri-Trophic TCN
Lago coll.	1	Scarab Central: World Scarabaeoidea
LBOB	1115	Tri-Trophic TCN
LEHMAN	1	Scarab Central: World Scarabaeoidea
León	131	Scarab Central: World Scarabaeoidea
ligata	1	Tri-Trophic TCN
LSU	166	Tri-Trophic TCN
MACN	389	Tri-Trophic TCN
Maes Coll.	4116	Scarab Central: World Scarabaeoidea
MAJC	2056	M. Andrew Johnston Collection
Managua	102	Scarab Central: World Scarabaeoidea
Mankins	4	Scarab Central: World Scarabaeoidea
MCNZ	8	Tri-Trophic TCN
MCZ	487397	Museum of Comparative Zoology, Harvard University
Meesters Coll.	34	Scarab Central: World Scarabaeoidea
MEFLG	309	Tri-Trophic TCN
MEMU	56349	Tri-Trophic TCN
MEUV	1	Tri-Trophic TCN
MHNES	1605	Scarab Central: World Scarabaeoidea
MHNG	361	Tri-Trophic TCN
MMRL	104	Scarab Central: World Scarabaeoidea
MMWVU	744	North American Bee Collections
MNHN	499	Tri-Trophic TCN
MNRJ	226	Tri-Trophic TCN
MPM	79	Milwaukee Public Museum, Invertebrate Zoology-Insect Collection
MRAC	197	Tri-Trophic TCN
MSU	96926	The Albert J. Cook Arthropod Research Collection
MTEC	1	Tri-Trophic TCN
MUSM	44	Tri-Trophic TCN
MVY	150	North American Bee Collections
MZH	90	Tri-Trophic TCN
MZSP	225	Tri-Trophic TCN
NAUF	59607	Colorado Plateau Museum of Arthropod Biodiversity
NCSU	116217	North American Bee Collections
NDBC	72	North American Bee Collections
NEMU	472	North American Bee Collections
NHMW	10	Tri-Trophic TCN
NHRS	33	Tri-Trophic TCN
NIC	22	Scarab Central: World Scarabaeoidea
NMK	1055	National Museums of Kenya, Invertebrate Section
NMLS	1	North American Bee Collections
NMPC	3	Tri-Trophic TCN
NMSU	81112	New Mexico State Collection of Arthropods
NSBC	53	North American Bee Collections
NYBG	99	North American Bee Collections
NYSM	5376	North American Bee Collections
ODA	170	Tri-Trophic TCN
OMC	113	Essig Museum of Entomology
OMNH	118521	The Sam Noble Museum Department of Recent Invertebrates
Ontario	25	Scarab Central: World Scarabaeoidea
OSAC	134534	North American Bee Collections
OSEC	139	Tri-Trophic TCN
OSU	446411	Ohio State C.A. Triplehorn Insect Collection
OSUC	7	Plant Bug Planetary Biodiversity Inventory Project PBI: Phytophagous Insects as a Model Group for Documenting Planetary Biodiversity (Insecta: Heterop
PDA	1518	Tri-Trophic TCN
PGC	24	North American Bee Collections
PKPC	456	Essig Museum of Entomology
PSC	1	Scarab Central: World Scarabaeoidea
PSCC	59	Scarab Central: World Scarabaeoidea
PU	3281	The Purdue Entomological Research Collection
PURC	16	Tri-Trophic TCN
QCAZ	74	North American Bee Collections
QDPI	3	Tri-Trophic TCN
QM	25	Tri-Trophic TCN
R. Cavey	13	Scarab Central: World Scarabaeoidea
RBCM	5	Plant Bug Planetary Biodiversity Inventory Project PBI: Phytophagous Insects as a Model Group for Documenting Planetary Biodiversity (Insecta: Heterop
RCC	2	Scarab Central: World Scarabaeoidea
RDCC	51	Scarab Central: World Scarabaeoidea
RMBL	1845	North American Bee Collections
RMNH	1037	Tri-Trophic TCN
Roatan	14	Scarab Central: World Scarabaeoidea
RUAC	6979	North American Bee Collections
Saltin Coll.	2	Scarab Central: World Scarabaeoidea
SAMA	46	Tri-Trophic TCN
SBMNH	111303	Santa Barbara Museum of Natural History Entomology Collection
SCC	634	Essig Museum of Entomology
SDNH	589	Tri-Trophic TCN
SDNHM	357	Essig Museum of Entomology
SDSU	4240	SDSU Terrestrial Arthropods Collection
SEAA	1	Scarab Central: World Scarabaeoidea
SEAN	3	Scarab Central: World Scarabaeoidea
SEMC	22	Scarab Central: World Scarabaeoidea
SEMUBCCOL	190	Essig Museum of Entomology
SFVS	21	Tri-Trophic TCN
SIIS	27617	Tri-Trophic TCN
Skelley	2	Scarab Central: World Scarabaeoidea
SLIC	11	North American Bee Collections
SNHM	151	Tri-Trophic TCN
STRI	3	Scarab Central: World Scarabaeoidea
SWRS	520	North American Bee Collections
TAMU	497072	Texas A&M University Insect Collection
TAU	3	Tri-Trophic TCN
TTRSNHM	1376	Tall Timbers Research Station Natural History Museum
TTU	173958	Texas Tech University - Invertebrate Zoology
Turnbow Coll.	92	Scarab Central: World Scarabaeoidea
UA	96005	University of Arizona Insect Collection
UAlig	1	University of Arizona Insect Collection
UAM	561543	UAM Insect Collection
UASM	10	Plant Bug Planetary Biodiversity Inventory Project PBI: Phytophagous Insects as a Model Group for Documenting Planetary Biodiversity (Insecta: Heterop
UAZ	224	Tri-Trophic TCN
UBC	107	Tri-Trophic TCN
UCB	46038	University of Colorado Museum of Natural History Entomology Collection
UCBME	4158	Essig Museum of Entomology
UCD	25616	Scarab Central: World Scarabaeoidea
UCM	80516	University of Colorado Museum of Natural History Entomology Collection
UCMS	21578	North American Bee Collections
UCR	80137	Tri-Trophic TCN
UCRC	119	Scarab Central: World Scarabaeoidea
UCSC	137	Essig Museum of Entomology
UD	1403	University of Delaware Insect Research Collection
UDAF	425	Utah Department of Agriculture and Food Entomology Collection
UDCC	37107	Tri-Trophic TCN
UFMG	32	North American Bee Collections
UFRGS	9	Tri-Trophic TCN
UFRJ	1	Tri-Trophic TCN
UFRRJ	20	Tri-Trophic TCN
UGCA	3721	University of Georgia Collection of Arthropods
UHIM	124037	University of Hawaii Insect Museum
UIC	220	North American Bee Collections
UK	43075	Tri-Trophic TCN
UKY-HIC	16861	Hymenoptera Institute Collection
UMA	1162	North American Bee Collections
UMAM	6627	Tri-Trophic TCN
UMMC	193	Plant Bug Planetary Biodiversity Inventory Project PBI: Phytophagous Insects as a Model Group for Documenting Planetary Biodiversity (Insecta: Heterop
UMNH	38715	Entomology Collection at the Natural History Museum of Utah
UMRM	174	Plant Bug Planetary Biodiversity Inventory Project PBI: Phytophagous Insects as a Model Group for Documenting Planetary Biodiversity (Insecta: Heterop
UMSP	527	Tri-Trophic TCN
UNAB	218	Tri-Trophic TCN
UNAH	121	Scarab Central: World Scarabaeoidea
UNHP	5046	North American Bee Collections
UNL	17580	Scarab Central: World Scarabaeoidea
UNM	40578	Museum of Southwestern Biology, Division of Arthropods
UNSM	2208	Scarab Central: World Scarabaeoidea
UNSW	2	Tri-Trophic TCN
UQIC	8	Tri-Trophic TCN
URI	78	Tri-Trophic TCN
URIC	13	North American Bee Collections
USDA	20	Plant Bug Planetary Biodiversity Inventory Project PBI: Phytophagous Insects as a Model Group for Documenting Planetary Biodiversity (Insecta: Heterop
USFQ	349	North American Bee Collections
USFWS	19	Tri-Trophic TCN
USNM	20521	Scarab Central: World Scarabaeoidea
USU	412	Tri-Trophic TCN
UTC	14195	University of Tennessee at Chattanooga
UTLA	140	Scarab Central: World Scarabaeoidea
UVM	3030	University of Vermont Zadock Thompson Zoological Collection-Invertebrates
VIDA	18	Scarab Central: World Scarabaeoidea
VPI	3778	Virginia Polytechnic Institute and State University Insect Collection
VTST	245	North American Bee Collections
WAMP	7	Tri-Trophic TCN
WFBM	3614	Tri-Trophic TCN
WICH	440	Wichita State University Collection
WIRC	1119	North American Bee Collections
WLNP	1	Plant Bug Planetary Biodiversity Inventory Project PBI: Phytophagous Insects as a Model Group for Documenting Planetary Biodiversity (Insecta: Heterop
WPU	113	North American Bee Collections
WSU	221	Tri-Trophic TCN
WWU	656	Western Washington University Insect Collection
YPM	215126	Yale Peabody Museum, Entomology Division
ZISP	1105	Tri-Trophic TCN
ZMAN	137	Tri-Trophic TCN
ZMHB	10	Tri-Trophic TCN
ZMUC	22	Tri-Trophic TCN
ZRC	8	Tri-Trophic TCN
ZSM	255	Tri-Trophic TCN
