InstitutionCode	count(*)
Abbott Coll.	1
ABS	11737
AM	613
AMDC	120
AMNH	491919
AMNHTC	189
ANIC	119
ANSP	8979
ASCU	2
ASU	77131
BCRC	3
BDGC	285
BDUC	19
BLM	192
BMNH	1117
BPBM	25003
BRFC	251
BYU	91907
BYUC	10
CAES	10764
CAS	792373
CBFC	7
CENTA	144
CIB	4
CLEV	12686
CMNH	15357
CNC	31156
CNDF	54
CSCA	47016
CSU	94011
CSUC	15897
CU	5
CUAC	215
CUIC	58996
CUMNH	179
CUNI	10
CURLA	285
DAR	174
DART	255
DBG	568
DCCC	193
DEBU	233
DEI	58
DMNS	129418
DUGWAY	949
DZRJ	3
EAPZ	8231
EAUS	114
EBUS	50
EMEC	186865
ENA	71
ESNACIFOR	1236
ESUW	19
EVDB	2
EVG	1
FCAP	3
FCNI	57
FIOC	7
FLMNH	119
FMIC	69
FMNH	321399
FSCA	14185
FUCSA	22
FUPNAPIB	20
GPSC	577
GSC	1748
GSFP	4
GWMP	1922
HAHC	1
HEISS	7
HNHM	324
HOC	101
HZIC	600
IAvH	51
IBUNAM	584
ICN	148
IEXA	16
IMLA	17
INBIO	1514
INHS	657959
INPA	209
ISNB	382
ISUI	252
JECC	2
JEWC	2
JMAC	4
JML	164
JSA	149
JSANUS	5
JSAOBS	48
JTP	7912
KAVE	1
KBIN	14
Kentuky	1
KNWR	44
KSU	17367
KU	1283417
La Rue	4
LACM	188335
Lago coll.	1
LBOB	1115
LEHMAN	1
León	131
ligata	1
LSU	166
MACN	389
Maes Coll.	4116
MAJC	2056
Managua	102
Mankins	4
MCNZ	8
MCZ	487397
Meesters Coll.	34
MEFLG	309
MEMU	56349
MEUV	1
MHNES	1605
MHNG	361
MMRL	104
MMWVU	744
MNHN	499
MNRJ	226
MPM	79
MRAC	197
MSU	96926
MTEC	1
MUSM	44
MVY	150
MZH	90
MZSP	225
NAUF	59607
NCSU	116217
NDBC	72
NEMU	472
NHMW	10
NHRS	33
NIC	22
NMK	1055
NMLS	1
NMPC	3
NMSU	81112
NSBC	53
NYBG	99
NYSM	5376
ODA	170
OMC	113
OMNH	118521
Ontario	25
OSAC	134534
OSEC	139
OSU	446411
OSUC	7
PDA	1518
PGC	24
PKPC	456
PSC	1
PSCC	59
PU	3281
PURC	16
QCAZ	74
QDPI	3
QM	25
R. Cavey	13
RBCM	5
RCC	2
RDCC	51
RMBL	1845
RMNH	1037
Roatan	14
RUAC	6979
Saltin Coll.	2
SAMA	46
SBMNH	111303
SCC	634
SDNH	589
SDNHM	357
SDSU	4240
SEAA	1
SEAN	3
SEMC	22
SEMUBCCOL	190
SFVS	21
SIIS	27617
Skelley	2
SLIC	11
SNHM	151
STRI	3
SWRS	520
TAMU	497072
TAU	3
TTRSNHM	1376
TTU	173958
Turnbow Coll.	92
UA	96005
UAlig	1
UAM	561543
UASM	10
UAZ	224
UBC	107
UCB	46038
UCBME	4158
UCD	25616
UCM	80516
UCMS	21578
UCR	80137
UCRC	119
UCSC	137
UD	1403
UDAF	425
UDCC	37107
UFMG	32
UFRGS	9
UFRJ	1
UFRRJ	20
UGCA	3721
UHIM	124037
UIC	220
UK	43075
UKY-HIC	16861
UMA	1162
UMAM	6627
UMMC	193
UMNH	38715
UMRM	174
UMSP	527
UNAB	218
UNAH	121
UNHP	5046
UNL	17580
UNM	40578
UNSM	2208
UNSW	2
UQIC	8
URI	78
URIC	13
USDA	20
USFQ	349
USFWS	19
USNM	20521
USU	412
UTC	14195
UTLA	140
UVM	3030
VIDA	18
VPI	3778
VTST	245
WAMP	7
WFBM	3614
WICH	440
WIRC	1119
WLNP	1
WPU	113
WSU	221
WWU	656
YPM	215126
ZISP	1105
ZMAN	137
ZMHB	10
ZMUC	22
ZRC	8
ZSM	255
