InstitutionCode	family	count(*)
NULL	NULL	4
AMNH	NULL	1
ASU	NULL	2
BISON	NULL	1
BYU	NULL	93
CAS	NULL	1
CSU	NULL	32
DMNS	NULL	1
EMEC	NULL	473
FMNH	NULL	2006
iNaturalist	NULL	221
INHS	NULL	4249
KU	NULL	1695
LACM	NULL	3
MAJC	NULL	1
MCZ	NULL	1491
MOD_DMNS	NULL	2
NAUF	NULL	6
NMSU	NULL	38
OMNH	NULL	408
OSU	NULL	281
SBMNH	NULL	8
TTU	NULL	576
UA	NULL	159
UCM	NULL	16
UHIM	NULL	231
UKY-HIC	NULL	24
UMNH	NULL	3
UNM	NULL	98
USNM	NULL	450
UTC	NULL	37
AMNH	Acanaloniidae	2
CAS	Acanaloniidae	2
INHS	Acanaloniidae	18
LBOB	Acanaloniidae	8
OSU	Acanaloniidae	2
TAMU	Acanaloniidae	134
UDCC	Acanaloniidae	8
WFBM	Acanaloniidae	7
CLEV	Acanthopidae	1
TAMU	Acanthosomatidae	4
UCR	Acanthosomatidae	1
USNM	Acartiidae	7
TAMU	Achilidae	167
UDCC	Achilidae	2
WFBM	Achilidae	1
CSCA	Aclerdidae	1
USNM	Aclerdidae	3
ANSP	Acrididae	53
ASU	Acrididae	6
BYU	Acrididae	337
CSU	Acrididae	32
iNaturalist	Acrididae	97
INHS	Acrididae	430
NAUF	Acrididae	2
NMSU	Acrididae	29
OMNH	Acrididae	3
OSU	Acrididae	142
PU	Acrididae	5
TAMU	Acrididae	35
TTU	Acrididae	7
UA	Acrididae	511
UCM	Acrididae	3
UMNH	Acrididae	57
UNM	Acrididae	80
USNM	Acrididae	10
DMNS	Acroceridae	1
USNM	Acrolophidae	12
KU	Aderidae	18
OSU	Aderidae	1
TAMU	Aderidae	93
USNM	Aegidae	35
UAM	Aeolothripidae	15
USNM	Aeolothripidae	3
CAS	Aeshnidae	24
EMEC	Aeshnidae	24
FMNH	Aeshnidae	1
iNaturalist	Aeshnidae	80
INHS	Aeshnidae	4
KU	Aeshnidae	1
SDNHM	Aeshnidae	6
USNM	Aeshnidae	157
AMNH	Aetalionidae	33
TAMU	Aetalionidae	1
USNM	Aethridae	6
USNM	Aetideidae	30
KU	Agaonidae	10
USNM	Agaonidae	1
DMNS	Agelenidae	3
FMNH	Agelenidae	2
IBUNAM	Agelenidae	11
iNaturalist	Agelenidae	10
MCZ	Agelenidae	25
UNM	Agelenidae	3
USNM	Agostocarididae	6
USNM	Agromyzidae	6
USNM	Albuneidae	42
CSCA	Aleyrodidae	281
EMEC	Aleyrodidae	2
iNaturalist	Aleyrodidae	11
USNM	Aleyrodidae	78
MCZ	Alleculidae	16
UNM	Alleculidae	1
USNM	Alleculidae	1
FMNH	Allopocockiidae	2
MCZ	Alpheidae	8
USNM	Alpheidae	324
AMNH	Alydidae	19
CMNH	Alydidae	2
iNaturalist	Alydidae	6
NCSU	Alydidae	1
OSAC	Alydidae	5
TAMU	Alydidae	582
USNM	Amaterasidae	4
FMNH	Amaurobiidae	2
iNaturalist	Amaurobiidae	1
MCZ	Amaurobiidae	8
USNM	Ammotheidae	29
DMNS	Ammotrechidae	4
iNaturalist	Ammotrechidae	2
MCZ	Ammotrechidae	3
NMSU	Ammoxenidae	1
CLEV	Amorphoscelidae	2
USNM	Ampeliscidae	10
USNM	Amphilochidae	2
USNM	Amphipterygidae	2
USNM	Ampithoidae	33
EMEC	Ampulicidae	1
iNaturalist	Ampulicidae	2
OSU	Ampulicidae	1
TAMU	Ampulicidae	6
FMNH	Anapidae	5
MCZ	Anapidae	25
USNM	Ancinidae	2
AMNH	Andrenidae	422
BISON	Andrenidae	49
CUIC	Andrenidae	2
EMEC	Andrenidae	31
FMNH	Andrenidae	6
iNaturalist	Andrenidae	1
INHS	Andrenidae	1482
KU	Andrenidae	7044
MSU	Andrenidae	66
NAUF	Andrenidae	3
OSU	Andrenidae	23
RUAC	Andrenidae	8
SWRS	Andrenidae	2
TAMU	Andrenidae	178
UCD	Andrenidae	4
UNM	Andrenidae	124
USNM	Andrenidae	26
FMNH	Andrognathidae	1
USNM	Andrognathidae	1
MCZ	Anguillidae	1
FMNH	Anisolabididae	1
USNM	Anisopodidae	1
OMNH	Annulariidae	1
ASU	Anobiidae	1
KU	Anobiidae	32
MCZ	Anobiidae	5
TTU	Anobiidae	6
USNM	Anobiidae	7
INHS	Anostostomatidae	1
TTU	Anostostomatidae	1
MCZ	Antennariidae	3
KU	Anthicidae	46
MCZ	Anthicidae	7
OSU	Anthicidae	64
TAMU	Anthicidae	965
TTU	Anthicidae	341
USNM	Anthicidae	19
AMNH	Anthocoridae	6
NCSU	Anthocoridae	1
UHIM	Anthocoridae	1
USNM	Anthocoridae	12
INHS	Anthomyiidae	3
OSU	Anthomyiidae	17
USNM	Anthomyiidae	4
TAMU	Anthophoridae	399
UNM	Anthophoridae	1
ASU	Anthribidae	15
EMEC	Anthribidae	9
iNaturalist	Anthribidae	4
KU	Anthribidae	36
OSU	Anthribidae	5
TTU	Anthribidae	16
UHIM	Anthribidae	1
USNM	Anthribidae	1
USNM	Anthuridae	18
FMNH	Antrodiaetidae	4
USNM	Anuropidae	3
DMNS	Anyphaenidae	4
