scientificName	unique_geo
NULL	196619
	1
"Leucoclaena" hipparis (Druce)	1
"Leucoclaina" hipparis (Druce)	1
"Linyphia" rita (Gertsch)	1
(apidae) (indet)	1
(attini) (indet)	2
(black, white and ocher)	1
(Campoplegini)	1
(cardiochilinae) (indet)	1
(cryptinae) (indet)	1
(cynipidae) (indet)	1
(dacetini) (indet)	5
(diapriidae) (indet)	1
(dolichoderinae) (indet)	2
(eurytomidae) (indet)	1
(fanatica)	1
(figitidae) (indet)	1
(formicidae) (indet)	257
(lindae)	1
(myrmicinae) (indet)	8
(occidentalis)	1
(pompilidae) (indet)	1
(ponerinae) (indet)	2
(proctotrupidae) (indet)	1
(pteromalidae) (indet)	2
(scelionidae) (indet)	2
(tenthredinidae) (indet)	1
1 Apatemon/2 Eudocimus albus	1
1 Dirofilaria, 2 Brugia 1 tenuis, 2 beaveri	1
1 Rhopalias, 2 Proalaria 1 macracanthus, 2 variabilis	1
?	1
? fuscoleuca	1
?pilatealis	1
?shastana	1
Abablemma brimleyana	1
Abablemma brimleyana Dyar 1914	1
Abacidus hamiltoni (G.Horn, 1880)	1
Abacidus sculptus (LeConte, 1852)	1
Abacion	1
Abacion lactarium (Say, 1821)	2
Abacion magnum (Loomis, 1943)	7
Abacion rugulosum (Newport, 1844)	2
Abacion tesselatum Rafinesque, 1820	7
Abacion texense (Loomis, 1937)	3
Abaeis nicippe	3
Abaeis nicippe (Cramer)	1
Abagesta concha Munroe	1
Abagesta reluctalis (Hulst)	1
Abagrotis alampeta	1
Abagrotis alampeta Franclemont	5
Abagrotis alternata	3
Abagrotis alternata Grote, 1864	8
Abagrotis anchocelioides	1
Abagrotis anchocelioides (GuenÃƒÂ©e, 1852)	5
Abagrotis apposita Grote, 1878	7
Abagrotis baueri McDunnough, 1949	3
Abagrotis belfragei	1
Abagrotis bimarginalis	1
Abagrotis bimarginalis (Grote)	2
Abagrotis brunneipennis (Grote, 1875)	7
Abagrotis cryptica	1
Abagrotis cupida (Grote, 1865)	14
Abagrotis dickeli Lafontaine, 1998	3
Abagrotis discoidalis	1
Abagrotis discoidalis (Grote)	1
Abagrotis discoidalis Grote, 1876	1
Abagrotis dodi McDunnough, 1927	6
Abagrotis duanca	1
Abagrotis duanca Smith, 1908	6
Abagrotis erratica Smith, 1890	1
Abagrotis exertistigma (Morrison)	2
Abagrotis glenni Buckett, 1968	2
Abagrotis hermina	1
Abagrotis hermina Lafontaine, 1998	10
Abagrotis mirabilis	1
Abagrotis mirabilis (Grote)	2
Abagrotis mirabilis Grote, 1879	12
Abagrotis nanalis	1
Abagrotis nanalis Grote, 1881	5
Abagrotis nefascia	1
Abagrotis nefascia (Smith, 1908)	5
Abagrotis negascia (Smith)	2
Abagrotis orbis	1
Abagrotis orbis (Grote)	3
Abagrotis placida	1
Abagrotis placida (Grote)	1
Abagrotis placida Grote, 1876	34
Abagrotis pulchrata Blackmore, 1925	1
Abagrotis reedi Buckett	3
Abagrotis reedi Buckett, 1969	11
Abagrotis scopeops	1
Abagrotis scopeops Dyar, 1904	6
Abagrotis Smith, 1890	2
Abagrotis sp.	1
Abagrotis trigona	2
Abagrotis trigona (Smith)	1
Abagrotis trigona Smith, 1893	13
Abagrotis turbulenta McDunnough, 1927	1
Abagrotis variata	1
Abagrotis variata Grote, 1876	5
Abagrotis vittifrons	1
Abagrotis vittifrons (Grote)	1
Abagrotis vittifrons Grote, 1864	11
abalienalis	2
Abaris Dejean, 1831	1
Abarislendidula (LeConte)	3
Abax (Abax) parallelepipedus (Piller & Mitterpacher, 1783)	1
abdita	1
abdominella	1
Abedus	5
Abedus breviceps	4
Abedus decarloi	1
Abedus dilatatus	2
Abedus herberti	2
Abedus herberti herberti	11
Abedus immaculatus	9
Abedus immensus	2
Abedus indentatus	12
Abedus ovatus	5
Abedus signoreti	1
Abedus stangei	1
Abedus vicinus sonorensis	1
Abedus vicinus vicinus	2
Abegesta remellalis Druce, 1899	2
abella	1
Abgrallaspis coloratus (Cockerell)	1
Abgrallaspis ithacae	1
Abia inflata	2
Abia Leach, 1817	6
abietivorella	1
abietivorella (reniculella)	1
abietivorella?	1
abitus	1
Ablabesmyia	4
Ablabesmyia annulata	1
Ablabesmyia annulata (Say, 1823)	20
Ablabesmyia aspera	1
Ablabesmyia aspera (Roback, 1959)	6
Ablabesmyia illinoensis	2
Ablabesmyia illinoensis (Malloch, 1915)	11
Ablabesmyia Johannsen, 1905	29
Ablabesmyia monilis	2
Ablabesmyia monilis (Linnaeus, 1758)	6
Ablabesmyia peleensis	1
Ablabesmyia peleensis (Walley, 1926)	2
Ablabesmyia pulchripennis (Lundbeck, 1898)	1
Ablabesmyia rhamphe Sublette, 1964	7
Ablabesmyia sp.	1
Ablautus coquilletti Wilcox, 1935	1
Ablautus flavipes Coquillett	1
Ablautus trifarius Loew, 1866	1
Ablaxia cupraeus	1
Ablechrus Waterhouse, 1877	1
Abraeomorphus Reitter, 1886	1
Abrolophus Berlese, 1891	12
abroniaeella	1
Abrostola microvalis Ottolengui	1
Abrostola ovalis	1
Abrostola ovalis GuenÃ©e, 1852	3
Abrostola ovalis Guenée, 1852	1
Abrostola parvula Barnes & McDunnough, 1916	1
Abrostola urentis	1
Abrostola urentis Guen??e, 1852	2
Abrostola urentis GuenÃ©e, 1852	10
absidum	1
absinthiata	2
abstemia	1
Abstrusomyzus phloxae (Sampson, 1939)	3
Absyrtus arealis	1
Absyrtus paniscoides	1
Absyrtus perilissoides	1
Absyrtus spp.	1
Abutiloneus idoneus Bridwell, 1946	1
Acacesia cornigera Petrunkevitch, 1925	1
Acacesia hamata	3
Acacesia hamata (Hentz)	2
Acacesia hamata (Hentz, 1847)	5
Acacesia Simon, 1895	2
Acaenitinae	2
Acalathus (Procalathus) advena (LeConte, 1848)	2
acallalis	1
Acalles carinatus	1
Acalles carinatus J. Lec. , 1876	1
Acalles indigens Fall , 1907	1
Acallodes lysimachiae Fall , 1913	1
Acallodes saltoides	1
Acallodes ventricosus	1
Acallodes ventricosus J. Lec. , 1876	1
Acalophaena	1
Acalymma	3
Acalymma trivittata (Mannerheim)	3
Acalymma trivittatum (Mann)	1
Acalymma trivittatum (Mannerheim, 1843)	3
Acalymma vittatum	11
Acalymma vittatum (Fabricius, 1775)	3
Acalypta elegans Horvath, 1906	7
Acalypta lillianus	1
Acalypta Westwood, 1840	1
Acalyptus carpini	1
Acalyptus carpini Schoenherr , 1833	11
Acalyptus SchÃ¶nherr, 1833	1
Acamptus rigidus	1
acamtopappi	1
Acanalonia bivittata	3
Acanalonia bivittata (Say, 1825)	1
Acanalonia conica	1
Acanalonia fasciata	1
Acanalonia fasciata Metcalf	1
Acanalonia invenusta Doering	1
Acanalonia parva Doering	1
