concat_scientificName	unique_geo
"leucoclaena" hipparis	1
"leucoclaina" hipparis	1
#VALUE!	1
'Acmaea' rudis	1
'Actinopteria'	1
'Aviculopecten'	1
'Buccinanops' ellipticum	1
'Bullia' altilis	1
'Caritodens'	1
'Chloephycus' 'plumosum'	1
'Deceptrix'	1
'Ladatheca' cylindrica	1
'Leda' alaeformis	1
'Molopophorus' biplicatus	1
'Nuculoidea'	1
'Palaeoneilo'	1
'Protaspis A'	1
'Protorthis' vermontensis	1
'Pterinea'	1
'Turritella' aldrichi	1
'Turritella' multilira	1
'Turritella' nasuta	1
'Turritella' saffordi	1
(Antennalia)	1
(Apidae) (indet)	1
(campoplegini)	1
(Can't read starts with H) uniformis	1
(Cardiochilinae) (indet)	1
(Cloanthanus)	1
(Cryptinae) (indet)	1
(Cyathophyllum multigemmatum	1
(Cynipidae) (indet)	1
(Diapriidae) (indet)	1
(Edmundiana)	1
(Euprosopellus)	1
(Euprosopis)	1
(Eurytomidae) (indet)	1
(Fenestella	1
(Figitidae) (indet)	1
(Gnathoprosopis)	1
(Henschia)	1
(Heterorhiza)	1
(Homaesthesis)	1
(Hylaeorhiza)	1
(Latenus)	1
(Leofa)	1
(Macrohylaeus)	1
(Photopsis)	1
(Pompilidae) (indet)	1
(Prasutagus)	1
(Prionus)	1
(Proctotrupidae) (indet)	1
(Pseudhylaeus)	1
(Saphenista) sp #1	1
(Saphenista) sp #2	1
(Scaphoideus)	1
(Tenthredinidae) (indet)	1
(Xenohylaeus)	1
1. Apatemon/2. Eudocimus albus	1
1.Dirofilaria, 2.Brugia 1. tenuis, 2. beaveri	1
1.Rhopalias, 2.Proalaria 1. macracanthus, 2. variabilis	1
2	1
3	1
4	1
5	1
? ?	1
? Euphoberia	1
? Hoploparia	1
??Photedes?? enervata	1
??Resapamea?? stipata	1
?Anomalocaris 'Appendage F'	1
?Caenoscelis	1
?Concavicaris	1
?Euphoberia	1
?Eurypterus	1
?Ischyropalpus sp1	1
?Lampronia new to	1
?Phragmoceras	1
?Pseudohylesinus sp1	1
Aalictus confusus	1
Aaroniella badonneli	1
Abablemma brimleyana	1
Abablemma brimleyana Dyar 1914	1
Abachrysa eureka	1
Abacidus hamiltoni (G.Horn, 1880)	1
Abacidus permunda	1
Abacidus sculptus (LeConte, 1852)	1
Abacion lacterium	1
Abagesta concha	1
Abagesta reluctalis	1
Abagrotis belfragei	1
Abagrotis cryptica	1
Abagrotis discoidalis Grote, 1876	1
Abagrotis erratica erratica	1
Abagrotis erratica Smith, 1890	1
Abagrotis kirkwoodi	1
Abagrotis magnicupida	1
Abagrotis petalama	1
Abagrotis pulchrata Blackmore, 1925	1
Abagrotis rubricundis	1
Abagrotis scopeops tecatensis	1
Abagrotis sp. undet. 1	1
Abagrotis turbulenta McDunnough, 1927	1
Abana arnetti	1
Abapeba cleonei	1
Abaris Dejean, 1831	1
Abaris slendidula	1
Abarislendidula	1
Abaristophora	1
Abax (Abax) parallelepipedus (Piller & Mitterpacher, 1783)	1
Abedus decarloi	1
Abedus stangei	1
Abedus vicinus sonorensis	1
Abegesta concha	1
Abegesta reluctalis	1
Abegesta remellalis	1
Abgrallaspis coloratus	1
Abgrallaspis liriodendri	1
Abgrallaspis mendax	1
Abia americana	1
Ablabesmyia annulata	1
Ablabesmyia parajanta	1
Ablabesmyia philosphagnos	1
Ablabesmyia pulchripennis (Lundbeck, 1898)	1
Ablautus arnaudi	1
Ablautus basini	1
