family	count(distinct(concat(decimalLatitude,decimalLongitude)))
1 Rhopaliasidae, 2 Diplostomidae	1
1 Strigeidae/ 2 Threskiornithidae	1
Abacionidae	62
Acalaphidae	1
Acanaloniidae	1413
Acanloniidae	1
Acanthametropodidae	2
Acanthaspidiidae	11
Acanthochitonidae	1
Acantholeberidae	1
Acanthopidae	2
Acanthopteroctetidae	3
Acanthosomatidae	465
Acaridae	11
Acartiidae	71
Acartophthalmidae	15
Acastidae	2
Aceraceae	2
Acerentomidae	5
Acertentomidae	1
Achatinellidae	3
Achilidae	692
Achipteriidae	23
Achiridae	28
Aclerdidae	15
Acmaeidae	8
Acridadae	1
Acrididae	10229
Acrididaehttp://symbiota4.acis.ufl.edu/scan/portal	1
Acroceridae	28
Acrolepiidae	14
Acrolophidae	47
Actaletidae	1
Acteonidae	1
Acuariidae	13
Adelgidae	139
Adelidae	31
Aderidae	266
Aderidae?	1
Adrenidae	3
Aegeriidae	1
Aegialiidae	3
Aegidae	45
Aeglidae	1
Aegyrtidae	8
Aenictopecheidae	1
Aeolothripidae	152
Aeroglyphidae	1
Aeshnidae	1506
Aetalionidae	13
Aethridae	47
Aetideidae	83
Agaonidae	13
Agathotanaidae	27
Agelendae	1
Agelenidae	1326
Agnostidae	5
Agonoxenidae	7
Agostocarididae	1
Agraulidae	1
Agriolomacidae	2
Agrionidae	5
Agromyzidae	358
Agromyziidae	1
Agyrtidae	84
Aididae	2
Akanthophoreidae	39
Albuneidae	23
Aleyrodidae	790
Algophagidae	1
Alicorhagiidae	1
Alleculidae	12
Allocreadiidae	4
Alloptidae	2
Allopyragraphoridae	1
Alokistocaridae	31
Alpheidae	461
Alucitidae	25
Alvinocarididae	1
Alycidae	6
Alydidae	1750
Amabiliidae	1
Amaurobiidae	437
Amaurobiidae?	1
Ameiridae	2
Ameletidae	258
Ameronothridae	6
Ameroseiidae	8
Ametropodidae	4
Ametroproctidae	2
Ammotheidae	53
Ammotrechidae	178
Ammoxenidae	1
Amorphoscelidae	1
Ampeliscidae	1917
Amphientomidae	3
Amphilochidae	141
Amphinectidae	5
Amphipoda	36
Amphipsocidae	8
Amphisbatidae	2
Amphithoidae	3
Amphizoidae	45
Ampithoidae	273
Ampulicidae	33
Ampullariidae	1
Analgidae	1
Anapidae	13
Anarhichadidae	1
Anarthruridae	7
Anarthuridae	1
