concat_scientificName	unique_geo
"leucoclaina" hipparis	1
"linyphia" rita	1
(Apidae) (indet)	1
(Attini) (indet)	1
(Cardiochilinae) (indet)	1
(Cryptinae) (indet)	1
(Cynipidae) (indet)	1
(Diapriidae) (indet)	1
(Dolichoderinae) (indet)	1
(Eurytomidae) (indet)	1
(Figitidae) (indet)	1
(Pompilidae) (indet)	1
(Proctotrupidae) (indet)	1
(Tenthredinidae) (indet)	1
1. Apatemon/2. Eudocimus albus	1
1.Dirofilaria, 2.Brugia 1. tenuis, 2. beaveri	1
1.Rhopalias, 2.Proalaria 1. macracanthus, 2. variabilis	1
2 UNKNOWN_NULL	1
3 UNKNOWN_NULL	1
4 UNKNOWN_NULL	1
5 UNKNOWN_NULL	1
? UNKNOWN_NULL	1
?Caenoscelis UNKNOWN_NULL	1
?Ischyropalpus sp1	1
?Pseudohylesinus sp1	1
Aalictus confusus	1
Abablemma brimleyana	1
Abacion lactarium	1
Abacion rugulosum	1
Abacion texensis	1
Abagrotis Abagrotis bimarginalis	1
Abagrotis Abagrotis crumbi	1
Abagrotis Abagrotis petalama	1
Abagrotis Abagrotis sp.	1
Abagrotis crumbi	1
Abagrotis erratica	1
Abagrotis hennei	1
Abagrotis negascia	1
Abagrotis pulchrata	1
Abagrotis sp. undet. 1	1
Abagrotis turbulenta	1
Abana arnetti	1
Abaris aequinoctialis	1
Abaristophora UNKNOWN_NULL	1
Abedus dilatatus	1
Abedus immensus	1
Abedus vicinus	1
Abgrallaspis mendax	1
Ablabesmyia cinctipes	1
Ablabesmyia parajanta	1
Ablabesmyia philosphagnos	1
Ablabesmyia pulchripennis	1
Ablautus californicus	1
Ablautus coquilletti	1
Ablautus trifarius	1
Ablechrus texensis	1
Ablerus UNKNOWN_NULL	1
Abolloptera bistriata	1
Abrostola Abrostola ovalis	1
Abrostola microvalis	1
Abrostola parvula	1
Acacesia cornigera	1
Acacesia UNKNOWN_NULL	1
Acaenitinae UNKNOWN_NULL	1
Acalles carinatus	1
Acalles granosus	1
Acalles minutissimus	1
Acallis gripalis	1
Acallodes saltoides	1
Acalophaena compacta	1
Acalymma hirsuta	1
Acalypta barberi	1
Acalypta thomsonii	1
Acalypta UNKNOWN_NULL	1
Acambus pterophori	1
Acanalonia brevifrons	1
Acanalonia decens	1
Acanalonia excavata	1
Acanalonia saltonia	1
Acanalonia tehuacana	1
Acanalonia tripartita	1
Acanalonia viriditerminata	1
Acanosema caudatum	1
Acanthaxius hirsutimanus	1
Acanthephyra brevicarinata	1
Acanthephyra brevirostris	1
Acanthephyra sibogae	1
Acanthephyra smithi	1
Acanthephyra stylorostratis	1
Acanthina angelica	1
Acanthina spirata	1
Acanthinucella paucilirata	1
Acanthinus cristatus	1
Acanthinus krausii	1
Acanthinus ornatus	1
Acanthinus striatopunctatus	1
Acanthobothrium UNKNOWN_NULL	1
Acanthocaudus caudacanthus	1
Acanthocephala declivis var. panamensis	1
Acanthocinus Acanthocinus princeps	1
Acanthocinus pusillus	1
Acanthococcus araucariae	1
Acanthocyclops venustus	1
Acanthoflata salina	1
Acanthognathus (indet)	1
Acantholeberis curvirostris	1
Acantholeria armipes	1
Acantholeria UNKNOWN_NULL	1
Acantholobulus pacificus	1
Acantholyda aequorea	1
Acantholyda balanata	1
Acantholyda bucephala	1
Acantholyda erythrocephala	1
Acantholyda maculiventris	1
Acantholyda runcinata	1
Acanthomyops claviger	1
Acanthomyops colei	1
Acanthonotozoma inflatum	1
Acanthonotozoma UNKNOWN_NULL	1
Acanthonycha UNKNOWN_NULL	1
Acanthoparypha chiropyga	1
Acanthophotopsis bequaertii	1
Acanthophotopsis bifurca	1
Acanthophotopsis evansi	1
Acanthophotopsis evansii	1
Acanthophrynus coronatus	1
