family	count(scientificName)
Abacionidae	6
Acanaloniidae	28
Acanthametropodidae	1
Acanthaspidiidae	1
Acantholeberidae	1
Acanthopidae	1
Acanthopteroctetidae	1
Acanthosomatidae	6
Acaridae	6
Acartiidae	7
Acartophthalmidae	1
Acastidae	1
Achatinellidae	4
Achilidae	53
Achipteriidae	2
Achiridae	5
Aclerdidae	8
Acmaeidae	8
Acrididae	359
Acroceridae	7
Acrolepiidae	3
Acrolophidae	16
Acteonidae	1
Acuariidae	7
Adelgidae	11
Adelidae	8
Aderidae	33
Aegialiidae	3
Aegidae	9
Aeglidae	1
Aenictopecheidae	1
Aeolothripidae	24
Aeshnidae	41
Aetalionidae	2
Aethridae	9
Aetideidae	15
Agathotanaidae	2
Agelendae	1
Agelenidae	48
Agnostidae	1
Agonoxenidae	2
Agostocarididae	1
Agriolomacidae	2
Agromyzidae	74
Agromyziidae	1
Agyrtidae	7
Aididae	1
Akanthophoreidae	1
Albuneidae	7
Aleyrodidae	132
Algophagidae	1
Allocreadiidae	3
Alloptidae	1
Allopyragraphoridae	1
Alokistocaridae	7
Alpheidae	83
Alucitidae	5
Alvinocarididae	1
Alydidae	33
Amaurobiidae	47
Ameiridae	8
Ameletidae	19
Ameronothridae	2
Ametropodidae	1
Ammotheidae	8
Ammotrechidae	14
Amorphoscelidae	1
Ampeliscidae	39
Amphientomidae	1
Amphilochidae	10
Amphinectidae	1
Amphipsocidae	1
Amphisbatidae	2
Amphizoidae	5
Ampithoidae	11
Ampulicidae	5
Ampullariidae	1
Analgidae	1
Anapidae	1
Ancinidae	3
Ancorabolidae	3
Ancylidae	3
Ancylostomatidae	6
Ancyracanthidae	2
Andrenidae	1255
Andrognathidae	2
Angiodictylidae	1
Anguillidae	2
Angusticaecidae	1
Anisembiidae	1
Anisogammaridae	3
Anisopodidae	7
Annulariidae	2
Anobiidae	64
Anomiidae	1
Anoplocephalidae	4
Anoplogastridae	1
Anotopteridae	1
Antarcturidae	1
Antennariidae	7
Antheluridae	2
Anthicidae	167
Anthocoridae	39
Anthomyiidae	129
Anthomyzidae	11
Anthophoridae	181
Anthribidae	24
Anthuridae	19
Antrodiaetidae	10
Anyphaenidae	37
Aoridae	43
Apataniidae	17
Apatelodidae	5
Apaturidae	3
Aphalaridae	67
Aphelinidae	75
Aphidae	1
Aphididae	1134
Aphidiidae	2
Aphodiidae	55
Aphrophoridae	31
Apidae	1251
Apidea	1
Apioceridae	18
Apseudidae	6
Apsilocephalidae	1
Aradidae	83
Araneidae	213
Archaeobalanidae	5
Archeocrypticidae	4
Architectonicidae	3
Arctiidae	618
Arctopsychidae	3
Arcturidae	5
Argasidae	7
Argestidae	12
Argidae	24
Argiopidae	1
Argissidae	1
Argulidae	2
Arietellidae	1
Arionidae	1
Aristaeidae	1
Aristeidae	5
Armadillidae	2
Armadillidiidae	3
Arrenuridae	3
Arrhopalitidae	1
Artematopodidae	5
Artemiidae	1
Artheneidae	3
Arthrolycosidae	2
Asaphidae	4
Ascalaphidae	6
Ascaridae	1
Ascarididae	3
Asellidae	6
Asilidae	300
Aspidogastridae	2
Astacidae	3
Asteiidae	16
Asterocheridae	1
Asterolecaniidae	19
Astronesthidae	11
Atelecyclidae	1
Atemnidae	3
Athericidae	1
Atopetholidae	2
Attelabidae	30
Atyidae	9
Atypidae	6
Augaptilidae	3
Aulacidae	3
Aulacigastridae	3
Autostichidae	3
Avenzoariidae	1
Aviculariidae	1
Axiidae	8
Axymyiidae	1
Azygiidae	3
Baetidae	93
Baetiscidae	5
Bairdiidae	4
Balanidae	18
Barbouriidae	1
Bateidae	5
Bathycheilidae	1
Bathygadidae	3
Bathylagidae	9
Bathypontiidae	1
Bathypteroidae	7
Batillariidae	1
Batrachedridae	3
Bdellidae	2
Bdellouridae	1
Bedelliidae	1
Bellostomatidae	4
Belostomatidae	31
Benthesicymidae	6
Bentheuphausiidae	1
Berothidae	3
Berytidae	27
Bethylidae	35
Beyrichiidae	1
Bibionidae	14
Biphyllidae	3
Bittacidae	7
Blaberidae	5
Blaniulidae	6
Blastobasidae	9
Blattellidae	23
Blattidae	6
Blennocampinae	1
Blissidae	38
Bodotriidae	16
Bolboceratidae	19
Bolbomyiidae	1
Bolliidae	1
Bombycidae	12
Bombyliidae	67
Boopidae	1
Bopyridae	5
Boreidae	9
Boridae	1
Bosminidae	5
Bostrichidae	49
Bothrideridae	4
Bovicolidae	1
Brachycentridae	24
Brachyceridae	4
Brachycoeliidae	1
Brachypteridae	4
Brachystomatidae	5
Braconidae	330
Bradybaenidae	1
Bradynobaenidae	10
Branchinectidae	2
Brentidae	21
Bruchidae	71
Buccinidae	6
Bucculatricidae	13
Bucephalidae	1
Bulimulidae	6
Bullidae	1
Buprestidae	293
Bursidae	1
Buthidae	15
Byrrhidae	25
Bythocytheridae	2
Byturidae	3
Caddidae	2
Caeciliusidae	2
Caenidae	19
Calamoceratidae	4
Calanidae	14
Calappidae	18
Caleremaeidae	1
Caligidae	5
Caliscelidae	39
Callianassidae	14
Calliopiidae	7
Calliostomatidae	4
Callipallenidae	5
Calliphorida	1
Calliphoridae	69
Callirhipidae	1
Calocarididae	1
Calophyidae	6
Calopterygidae	16
Calymenidae	9
Calyptraeidae	9
Cambalidae	4
Cambaridae	71
Camisiidae	8
Campodeidae	2
Camptoneuritidae	1
Canacidae	16
Cancridae	12
Candaciidae	1
Candonidae	7
Cantharidae	115
Canthocamptidae	1
Canthyloscelidae	1
Canuellidae	2
Capillaridae	1
Capniidae	81
Caponiidae	5
Caprellidae	23
Caprellinoididae	1
Capulidae	1
Carabidae	4059
Caraboacaridae	1
Carabodidae	1
Carcinophoridae	2
Cardiidae	10
Carditidae	3
Carnidae	2
Carpiliidae	1
Carposinidae	5
Carychiidae	1
Cassidae	6
Catillicephalidae	1
Cebrionidae	2
Cecidomyiidae	100
Cecropidae	1
Centropagidae	8
Cephaloidae	1
Cephidae	9
Cerambycidae	731
Ceraphronidae	3
Ceratiidae	3
Ceratocombidae	3
Ceratocumatidae	2
Ceratolasmatidae	3
Ceratophyllidae	31
Ceratopogonidae	102
Ceratoppiidae	2
Ceratozetidae	8
Cercopidae	24
Cercropidae	1
Cerithiidae	3
Cerococcidae	6
Cerophytidae	2
Certatopogonidae	1
Cerviniidae	9
Cerylonidae	11
Cetomimidae	6
Cetoniidae	34
Chaetiliidae	10
Chalcididae	49
Chamaemyiidae	15
Chamidae	3
Chamobatidae	2
Chaoboridae	7
Charopidae	1
Chasmocarcinidae	2
Chauliodontidae	2
Cheilocephalidae	1
Cheiragonidae	2
Cheiridiidae	1
Cheirocratidae	1
Cheiruridae	2
Cheliferidae	6
Chelonariidae	1
Chelonibiidae	1
Chernetidae	15
Cheyletidae	3
Chilenophilidae	1
Chilomastigidae	1
Chirocephalidae	2
Chironomidae	325
Chirostylidae	5
Chloroperlidae	42
Chloropidae	172
Choctellidae	1
Choreutidae	10
Chrysididae	68
Chrysomelidae	781
Chrysomelidae:Bruchinae	2
Chrysopidae	42
Chthamalidae	5
Chthoniidae	3
Chydoridae	33
Chyromyidae	17
Cicadellidae	3190
Cicadidae	219
Cicindelidae	9
Ciidae	51
Cimbicidae	9
Cimicidae	19
Cirolanidae	29
Cixiidae	147
Clambidae	5
Clariidae	1
Clastopteridae	34
Clausidiidae	3
Clausocalanidae	9
Cleidogonidae	6
Cleridae	143
Cletodidae	7
Clinostomatidae	2
Cloacaridae	1
Clubionidae	65
Clusiidae	18
Coccidae	89
Coccinellidae	336
Cochlicopidae	1
Cochylidae	7
Coelopidae	5
Coenagrionidae	113
Coenobitidae	2
Coleophoridae	89
Colletidae	297
Colletteidae	5
Colomastigidae	6
Colossendeidae	6
Columbellidae	5
Colydiidae	15
Conchaspididae	1
Conidae	32
Coniopterygidae	6
Conopidae	25
Conotylidae	5
Copromorphidae	2
Corallanidae	5
Coralliophilidae	1
Corbiculidae	5
Cordulegastridae	8
Corduliidae	46
Cordullidae	19
Coreidae	209
Corethrellidae	1
Corimelaenidae	10
Corinnidae	63
Corixidae	140
Coronulidae	1
Corophiidae	31
Corydalidae	14
Corydiidae	8
Corylophidae	12
Cosmetidae	10
Cosmocercidae	1
Cosmochthoniidae	1
Cosmopterigidae	25
Cossidae	24
Crabronidae	698
Crambidae	462
Crangonidae	25
Crangonyctidae	2
Crossotonotidae	1
Cruziidae	1
Cryptocercidae	1
Cryptochiridae	2
Cryptocopidae	1
Cryptodesmidae	1
Cryptophagidae	32
Cryptopidae	5
Ctenidae	8
Ctenizidae	5
Ctenophthalmidae	5
Cucujidae	11
Culicidae	151
Cunaxidae	1
Cupedidae	6
Curaliidae	1
Curculionidae	1352
Curtonotidae	1
Cuspidariidae	1
Cyathocephalidae	1
Cyathostomidae	4
Cybaeidae	16
Cyclocoelidae	4
Cyclodorippidae	2
Cyclopidae	29
Cyclopinidae	1
Cydnidae	57
Cylichnidae	1
Cylindroleberididae	15
Cylindropsyllidae	1
Cylindrotomidae	2
Cymidae	18
Cymopoliidae	3
Cymothoidae	6
Cynidae	1
Cynipidae	80
Cyphocarididae	2
Cypraeidae	15
Cyprididae	15
Cypridinidae	6
Cyproideidae	1
Cyrtaucheniidae	7
Cytherellidae	2
Cytheridae	2
Cytherideidae	5
Cytheruridae	4
Cytodytidae	1
Cyzicidae	5
Dactylogyridae	1
Dactylopiidae	4
Dairidae	1
Dairoididae	1
Dalceridae	2
Dalmanitidae	1
Damaeidae	4
Danaidae	3
Daphnidae	2
Daphniidae	31
Daraineidae	1
Darcythompsoniidae	3
Darwinulidae	1
Dascillidae	2
Davaineidae	4
Deinopidae	1
Delphacidae	397
Dentaliidae	1
Derbidae	72
Dermanyssidae	9
Dermestidae	78
Derodontidae	9
Desidae	1
Desmosomatidae	19
Dexaminidae	7
Diaphanidae	1
Diapheromeridae	8
Diapriidae	28
Diaptomidae	17
Diaspididae	351
Diastatidae	1
Diastylidae	36
Dibothriocephalidae	2
Dicrocoeliidae	10
Dictynidae	152
Dictyopharidae	79
Dicyrtomidae	2
Diguetidae	4
Dikelocephalidae	2
Dilepididae	6
Dinesidae	1
Dioecocestidae	1
Diogenidae	37
Dionididae	1
Diopsidae	1
Diosaccidae	29
Dipetalonematidae	1
Diphyllobothridae	1
