cnt	max(occid)	catalogNumber
3	27834897	0049-SIPHO
3	27834912	0064-SIPHO
3	27834913	0065-SIPHO
3	27834914	0066-SIPHO
3	27834915	0067-SIPHO
3	27834945	0098-SIPHO
3	27834946	0099-SIPHO
3	32200678	01-BB09CN-A01
3	32200679	01-BB09CN-A02
3	32184117	01-BB09CN-A03
3	32184118	01-BB09CN-A04
3	32186267	01-BB09CN-A05
3	32196016	01-BB09CN-A12
3	32184339	01-BB09CN-B01
3	32200680	01-BB09CN-B03
3	32184120	01-BB09CN-B07
3	32184121	01-BB09CN-B08
3	32184122	01-BB09CN-B09
3	32184822	01-BB09CN-B10
3	32197100	01-BB09CN-C03
3	32200240	01-BB09CN-C12
3	32200241	01-BB09CN-D01
3	32195010	01-BB09CN-D04
3	32195011	01-BB09CN-D05
3	32195012	01-BB09CN-D06
3	32194887	01-BB09CN-D08
3	32195564	01-BB09CN-D09
3	32197805	01-BB09CN-D10
3	32195565	01-BB09CN-D11
3	32195566	01-BB09CN-D12
3	32551355	01-BB09CN-E01
3	32195567	01-BB09CN-E02
3	32195568	01-BB09CN-E08
3	32184131	01-BB09CN-F06
3	32184425	01-BB09CN-F07
3	32184426	01-BB09CN-F08
3	32185272	01-BB09CN-F09
3	32199333	01-BB09CN-F10
3	32199334	01-BB09CN-F11
3	32199335	01-BB09CN-F12
3	32195244	01-BB09CN-G02
3	32197173	01-BB09CN-G03
3	32200095	01-BB09CN-G10
3	32200096	01-BB09CN-G11
3	27834947	0100-SIPHO
3	27834953	0106-SIPHO
3	27834954	0107-SIPHO
3	27834955	0108-SIPHO
3	27834958	0111-SIPHO
3	27834959	0112-SIPHO
3	27834960	0113-SIPHO
3	27835002	0119-SIPHO
3	27838393	0124-SIPHO
3	27834968	0138-SIPHO
3	27835020	0177-SIPHO
3	27835021	0178-SIPHO
3	27835022	0179-SIPHO
3	27835023	0180-SIPHO
3	27835024	0181-SIPHO
3	27835025	0182-SIPHO
3	27835026	0183-SIPHO
3	27838342	0184-SIPHO
3	27835027	0186-SIPHO
3	27835028	0187-SIPHO
3	27835029	0188-SIPHO
3	27838381	0197-SIPHO
3	27838373	0205-SIPHO
3	27838372	0206-SIPHO
3	27838371	0207-SIPHO
3	27838370	0208-SIPHO
3	27838369	0209-SIPHO
3	27838368	0210-SIPHO
3	27838402	0249-SIPHO
3	27838403	0250-SIPHO
3	27838404	0251-SIPHO
3	27835068	0392-SIPHO
3	27835067	0393-SIPHO
3	27835066	0394-SIPHO
3	27835065	0395-SIPHO
3	27835064	0396-SIPHO
3	27835063	0397-SIPHO
3	27835062	0398-SIPHO
3	27835061	0399-SIPHO
